Station Name,Date (Local Standard Time),Air Temp. Min. (°C),Air Temp. Min. Source Flag,Air Temp. Min. Record Completeness (%),Air Temp. Max. (°C),Air Temp. Max. Source Flag,Air Temp. Max. Record Completeness (%),Air Temp. Avg. (°C),Air Temp. Avg. Source Flag,Air Temp. Avg. Record Completeness (%),Relative Humidity Avg. (%),Relative Humidity Avg. Source Flag,Relative Humidity Avg. Record Completeness (%),Precip. Accumulated (mm),Precip. Accumulated Source Flag,Precip. Accumulated Comment,Precip. (mm),Precip. Source Flag,Precip. Comment,Wind Speed 10 m Avg. (km/h),Wind Speed 10 m Avg. Source Flag,Wind Speed 10 m Avg. Record Completeness (%),Wind Dir. 10 m Avg. (°),Wind Dir. 10 m Avg. Source Flag,Wind Dir. 10 m Avg. Record Completeness (%),Precip. Normal (mm),Precip. Normal Source Flag,Precip. Normal Comment,Air Temp. Avg. Normal (°C),Air Temp. Avg. Normal Source Flag,Air Temp. Avg. Normal Comment,Air Temp. Avg. Min. Normal (°C),Air Temp. Avg. Min. Normal Source Flag,Air Temp. Avg. Min. Normal Comment,Air Temp. Avg. Max. Normal (°C),Air Temp. Avg. Max. Normal Source Flag,Air Temp. Avg. Max. Normal Comment
Shell Hamberg,01-Mar-19,-30.1,ESTIMATED,0,-20.6,ESTIMATED,0,-25.9,AGGREGATED,0,67.5,AGGREGATED,0,0,AGGREGATED,using element [Precip. 1-hr TBRG],0,AGGREGATED,using element [Precip. 1-hr TBRG],6.9,AGGREGATED,0,,UNAVAILBLE,0,0.4,AGGREGATED,Computed based on years 1991-2020,-10.8,AGGREGATED,Computed based on years 1991-2020,-17.5,AGGREGATED,Computed based on years 1991-2020,-4.2,AGGREGATED,Computed based on years 1991-2020
Shell Hamberg,02-Mar-19,-27.2,ESTIMATED,0,-15.9,ESTIMATED,0,-21.8,AGGREGATED,0,57.4,AGGREGATED,0,0,AGGREGATED,using element [Precip. 1-hr TBRG],0,AGGREGATED,using element [Precip. 1-hr TBRG],6.1,AGGREGATED,0,,UNAVAILBLE,0,0.8,AGGREGATED,Computed based on years 1991-2020,-10.5,AGGREGATED,Computed based on years 1991-2020,-17.3,AGGREGATED,Computed based on years 1991-2020,-3.8,AGGREGATED,Computed based on years 1991-2020
Shell Hamberg,03-Mar-19,-21.6,ESTIMATED,0,-9.4,ESTIMATED,0,-16.1,AGGREGATED,0,44.5,AGGREGATED,0,0,AGGREGATED,using element [Precip. 1-hr TBRG],0,AGGREGATED,using element [Precip. 1-hr TBRG],10.1,AGGREGATED,0,,UNAVAILBLE,0,1.5,AGGREGATED,Computed based on years 1991-2020,-10.7,AGGREGATED,Computed based on years 1991-2020,-17,AGGREGATED,Computed based on years 1991-2020,-4.4,AGGREGATED,Computed based on years 1991-2020
Shell Hamberg,04-Mar-19,-15.8,ESTIMATED,0,-7.5,ESTIMATED,0,-12.6,AGGREGATED,0,52.9,AGGREGATED,0,0,AGGREGATED,using element [Precip. 1-hr TBRG],0,AGGREGATED,using element [Precip. 1-hr TBRG],12.1,AGGREGATED,0,,UNAVAILBLE,0,2,AGGREGATED,Computed based on years 1991-2020,-10.9,AGGREGATED,Computed based on years 1991-2020,-17.5,AGGREGATED,Computed based on years 1991-2020,-4.2,AGGREGATED,Computed based on years 1991-2020
Shell Hamberg,05-Mar-19,-15,ESTIMATED,0,-9.3,ESTIMATED,0,-12.8,AGGREGATED,0,83.9,AGGREGATED,0,0,AGGREGATED,using element [Precip. 1-hr TBRG],0,AGGREGATED,using element [Precip. 1-hr TBRG],6.7,AGGREGATED,0,,UNAVAILBLE,0,2.6,AGGREGATED,Computed based on years 1991-2020,-12,AGGREGATED,Computed based on years 1991-2020,-18.6,AGGREGATED,Computed based on years 1991-2020,-5.4,AGGREGATED,Computed based on years 1991-2020
Shell Hamberg,06-Mar-19,-15.4,ESTIMATED,0,-6.8,ESTIMATED,0,-12.4,AGGREGATED,0,74.4,AGGREGATED,0,0,AGGREGATED,using element [Precip. 1-hr TBRG],0,AGGREGATED,using element [Precip. 1-hr TBRG],10.2,AGGREGATED,0,,UNAVAILBLE,0,3.2,AGGREGATED,Computed based on years 1991-2020,-11.7,AGGREGATED,Computed based on years 1991-2020,-18.2,AGGREGATED,Computed based on years 1991-2020,-5.2,AGGREGATED,Computed based on years 1991-2020
Shell Hamberg,07-Mar-19,-16.5,ESTIMATED,0,-5.2,ESTIMATED,0,-11.1,AGGREGATED,0,65.5,AGGREGATED,0,0,AGGREGATED,using element [Precip. 1-hr TBRG],0,AGGREGATED,using element [Precip. 1-hr TBRG],5.9,AGGREGATED,0,,UNAVAILBLE,0,3.7,AGGREGATED,Computed based on years 1991-2020,-10.4,AGGREGATED,Computed based on years 1991-2020,-17.5,AGGREGATED,Computed based on years 1991-2020,-3.2,AGGREGATED,Computed based on years 1991-2020
Shell Hamberg,08-Mar-19,-13.1,ESTIMATED,0,-3.6,ESTIMATED,0,-8.7,AGGREGATED,0,53.9,AGGREGATED,0,0,AGGREGATED,using element [Precip. 1-hr TBRG],0,AGGREGATED,using element [Precip. 1-hr TBRG],8.4,AGGREGATED,0,,UNAVAILBLE,0,4.1,AGGREGATED,Computed based on years 1991-2020,-8.4,AGGREGATED,Computed based on years 1991-2020,-15.8,AGGREGATED,Computed based on years 1991-2020,-1,AGGREGATED,Computed based on years 1991-2020
Shell Hamberg,09-Mar-19,,UNAVAILBLE,,,UNAVAILBLE,,,UNAVAILBLE,,,UNAVAILBLE,,,MISSING,,,MISSING,,,UNAVAILBLE,,,UNAVAILBLE,,5.2,AGGREGATED,Computed based on years 1991-2020,-7.3,AGGREGATED,Computed based on years 1991-2020,-13.9,AGGREGATED,Computed based on years 1991-2020,-0.6,AGGREGATED,Computed based on years 1991-2020
Shell Hamberg,10-Mar-19,,UNAVAILBLE,,,UNAVAILBLE,,,UNAVAILBLE,,,UNAVAILBLE,,,MISSING,,,MISSING,,,UNAVAILBLE,,,UNAVAILBLE,,6,AGGREGATED,Computed based on years 1991-2020,-7.2,AGGREGATED,Computed based on years 1991-2020,-12.7,AGGREGATED,Computed based on years 1991-2020,-1.7,AGGREGATED,Computed based on years 1991-2020
