Station Name,Date (Local Standard Time),Air Temp. Min. (°C),Air Temp. Min. Source Flag,Air Temp. Min. Record Completeness (%),Air Temp. Max. (°C),Air Temp. Max. Source Flag,Air Temp. Max. Record Completeness (%),Air Temp. Avg. (°C),Air Temp. Avg. Source Flag,Air Temp. Avg. Record Completeness (%),Relative Humidity Avg. (%),Relative Humidity Avg. Source Flag,Relative Humidity Avg. Record Completeness (%),Precip. Accumulated (mm),Precip. Accumulated Source Flag,Precip. Accumulated Comment,Precip. (mm),Precip. Source Flag,Precip. Comment,Wind Speed 10 m Avg. (km/h),Wind Speed 10 m Avg. Source Flag,Wind Speed 10 m Avg. Record Completeness (%),Wind Dir. 10 m Avg. (°),Wind Dir. 10 m Avg. Source Flag,Wind Dir. 10 m Avg. Record Completeness (%),Precip. Normal (mm),Precip. Normal Source Flag,Precip. Normal Comment,Air Temp. Avg. Normal (°C),Air Temp. Avg. Normal Source Flag,Air Temp. Avg. Normal Comment,Air Temp. Avg. Min. Normal (°C),Air Temp. Avg. Min. Normal Source Flag,Air Temp. Avg. Min. Normal Comment,Air Temp. Avg. Max. Normal (°C),Air Temp. Avg. Max. Normal Source Flag,Air Temp. Avg. Max. Normal Comment
Cleardale AGDM,01-Mar-22,-10.4,ACTUAL,100,-7,ACTUAL,100,-9,AGGREGATED,100,85.4,AGGREGATED,100,5.1,AGGREGATED,using element [Precip. Weighing],5.1,AGGREGATED,using element [Precip. Weighing],10.9,AGGREGATED,100,59.8,AGGREGATED,100,0.5,AGGREGATED,Computed based on years 1991-2020,-10.2,AGGREGATED,Computed based on years 1991-2020,-16.5,AGGREGATED,Computed based on years 1991-2020,-3.9,AGGREGATED,Computed based on years 1991-2020
Cleardale AGDM,02-Mar-22,-11,ACTUAL,100,-7.8,ACTUAL,100,-9.4,AGGREGATED,100,87.6,AGGREGATED,100,5.2,AGGREGATED,using element [Precip. Weighing],0.1,AGGREGATED,using element [Precip. Weighing],10.1,AGGREGATED,100,54.3,AGGREGATED,100,1.6,AGGREGATED,Computed based on years 1991-2020,-9.8,AGGREGATED,Computed based on years 1991-2020,-15.8,AGGREGATED,Computed based on years 1991-2020,-3.7,AGGREGATED,Computed based on years 1991-2020
Cleardale AGDM,03-Mar-22,-8.1,ACTUAL,100,-4.6,ACTUAL,100,-6.6,AGGREGATED,100,92.3,AGGREGATED,100,5.3,AGGREGATED,using element [Precip. Weighing],0.1,AGGREGATED,using element [Precip. Weighing],7.1,AGGREGATED,100,39.7,AGGREGATED,100,2.4,AGGREGATED,Computed based on years 1991-2020,-9.8,AGGREGATED,Computed based on years 1991-2020,-15.3,AGGREGATED,Computed based on years 1991-2020,-4.2,AGGREGATED,Computed based on years 1991-2020
Cleardale AGDM,04-Mar-22,-7.2,ACTUAL,100,-1.8,ACTUAL,100,-5,AGGREGATED,100,87,AGGREGATED,100,5.3,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],5.7,AGGREGATED,100,258.8,AGGREGATED,100,3,AGGREGATED,Computed based on years 1991-2020,-10.2,AGGREGATED,Computed based on years 1991-2020,-16.2,AGGREGATED,Computed based on years 1991-2020,-4.2,AGGREGATED,Computed based on years 1991-2020
Cleardale AGDM,05-Mar-22,-15.3,ACTUAL,100,2.2,ACTUAL,100,-6.7,AGGREGATED,100,75.8,AGGREGATED,100,5.3,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],5.6,AGGREGATED,100,263.6,AGGREGATED,100,3.5,AGGREGATED,Computed based on years 1991-2020,-11.3,AGGREGATED,Computed based on years 1991-2020,-17.7,AGGREGATED,Computed based on years 1991-2020,-4.8,AGGREGATED,Computed based on years 1991-2020
Cleardale AGDM,06-Mar-22,-14.5,ACTUAL,100,5.5,ACTUAL,100,-6.4,AGGREGATED,100,75,AGGREGATED,100,5.5,AGGREGATED,using element [Precip. Weighing],0.2,AGGREGATED,using element [Precip. Weighing],4.7,AGGREGATED,100,0.7,AGGREGATED,100,4.1,AGGREGATED,Computed based on years 1991-2020,-10.9,AGGREGATED,Computed based on years 1991-2020,-17.2,AGGREGATED,Computed based on years 1991-2020,-4.6,AGGREGATED,Computed based on years 1991-2020
Cleardale AGDM,07-Mar-22,-8.9,ACTUAL,100,4.4,ACTUAL,100,-3.1,AGGREGATED,100,62,AGGREGATED,100,6.1,AGGREGATED,using element [Precip. Weighing],0.6,AGGREGATED,using element [Precip. Weighing],18,AGGREGATED,100,312.8,AGGREGATED,100,5.1,AGGREGATED,Computed based on years 1991-2020,-10.5,AGGREGATED,Computed based on years 1991-2020,-17.3,AGGREGATED,Computed based on years 1991-2020,-3.6,AGGREGATED,Computed based on years 1991-2020
Cleardale AGDM,08-Mar-22,-18.8,ACTUAL,100,-4.4,ACTUAL,100,-9.4,AGGREGATED,100,62.3,AGGREGATED,100,6.1,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],8.7,AGGREGATED,100,318.6,AGGREGATED,100,5.5,AGGREGATED,Computed based on years 1991-2020,-8.4,AGGREGATED,Computed based on years 1991-2020,-15.4,AGGREGATED,Computed based on years 1991-2020,-1.5,AGGREGATED,Computed based on years 1991-2020
Cleardale AGDM,09-Mar-22,-22.9,ACTUAL,100,-1.4,ACTUAL,100,-11.7,AGGREGATED,100,61.3,AGGREGATED,100,6.4,AGGREGATED,using element [Precip. Weighing],0.3,AGGREGATED,using element [Precip. Weighing],8.6,AGGREGATED,100,260.9,AGGREGATED,100,6.8,AGGREGATED,Computed based on years 1991-2020,-6.9,AGGREGATED,Computed based on years 1991-2020,-13.8,AGGREGATED,Computed based on years 1991-2020,-0.1,AGGREGATED,Computed based on years 1991-2020
Cleardale AGDM,10-Mar-22,-17.9,ACTUAL,100,-5.1,ACTUAL,100,-11,AGGREGATED,100,53.9,AGGREGATED,100,6.5,AGGREGATED,using element [Precip. Weighing],0.1,AGGREGATED,using element [Precip. Weighing],7.8,AGGREGATED,100,36.4,AGGREGATED,100,7.4,AGGREGATED,Computed based on years 1991-2020,-6.2,AGGREGATED,Computed based on years 1991-2020,-11.7,AGGREGATED,Computed based on years 1991-2020,-0.7,AGGREGATED,Computed based on years 1991-2020
Cleardale AGDM,11-Mar-22,-14,ACTUAL,100,4.4,ACTUAL,100,-7.5,AGGREGATED,100,75.4,AGGREGATED,100,7.7,AGGREGATED,using element [Precip. Weighing],1.2,AGGREGATED,using element [Precip. Weighing],10.6,AGGREGATED,100,51.3,AGGREGATED,100,8.2,AGGREGATED,Computed based on years 1991-2020,-5.8,AGGREGATED,Computed based on years 1991-2020,-11.3,AGGREGATED,Computed based on years 1991-2020,-0.3,AGGREGATED,Computed based on years 1991-2020
Cleardale AGDM,12-Mar-22,-11.1,ACTUAL,100,2.6,ACTUAL,100,-4,AGGREGATED,100,62.1,AGGREGATED,100,7.7,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],11.6,AGGREGATED,100,228.5,AGGREGATED,100,9.5,AGGREGATED,Computed based on years 1991-2020,-5.1,AGGREGATED,Computed based on years 1991-2020,-10.6,AGGREGATED,Computed based on years 1991-2020,0.3,AGGREGATED,Computed based on years 1991-2020
Cleardale AGDM,13-Mar-22,-15.3,ACTUAL,100,-10.9,ACTUAL,100,-13.5,AGGREGATED,100,71.2,AGGREGATED,100,8.2,AGGREGATED,using element [Precip. Weighing],0.5,AGGREGATED,using element [Precip. Weighing],7.3,AGGREGATED,100,48.6,AGGREGATED,100,10.6,AGGREGATED,Computed based on years 1991-2020,-5.6,AGGREGATED,Computed based on years 1991-2020,-11.6,AGGREGATED,Computed based on years 1991-2020,0.4,AGGREGATED,Computed based on years 1991-2020
Cleardale AGDM,14-Mar-22,-17.6,ACTUAL,100,-2.9,ACTUAL,100,-12,AGGREGATED,100,72.1,AGGREGATED,100,10.8,AGGREGATED,using element [Precip. Weighing],2.6,AGGREGATED,using element [Precip. Weighing],6.8,AGGREGATED,100,49.6,AGGREGATED,100,11.4,AGGREGATED,Computed based on years 1991-2020,-5.7,AGGREGATED,Computed based on years 1991-2020,-11.5,AGGREGATED,Computed based on years 1991-2020,0.1,AGGREGATED,Computed based on years 1991-2020
Cleardale AGDM,15-Mar-22,-10.6,ACTUAL,100,7.7,ACTUAL,100,-1.6,AGGREGATED,100,74,AGGREGATED,100,14.5,AGGREGATED,using element [Precip. Weighing],3.7,AGGREGATED,using element [Precip. Weighing],8,AGGREGATED,100,325.6,AGGREGATED,100,12.1,AGGREGATED,Computed based on years 1991-2020,-6.4,AGGREGATED,Computed based on years 1991-2020,-12.5,AGGREGATED,Computed based on years 1991-2020,-0.2,AGGREGATED,Computed based on years 1991-2020
