Station Name,Date (Local Standard Time),Air Temp. Min. (°C),Air Temp. Min. Source Flag,Air Temp. Min. Record Completeness (%),Air Temp. Max. (°C),Air Temp. Max. Source Flag,Air Temp. Max. Record Completeness (%),Air Temp. Avg. (°C),Air Temp. Avg. Source Flag,Air Temp. Avg. Record Completeness (%),Relative Humidity Avg. (%),Relative Humidity Avg. Source Flag,Relative Humidity Avg. Record Completeness (%),Precip. Accumulated (mm),Precip. Accumulated Source Flag,Precip. Accumulated Comment,Precip. (mm),Precip. Source Flag,Precip. Comment,Wind Speed 10 m Avg. (km/h),Wind Speed 10 m Avg. Source Flag,Wind Speed 10 m Avg. Record Completeness (%),Wind Dir. 10 m Avg. (°),Wind Dir. 10 m Avg. Source Flag,Wind Dir. 10 m Avg. Record Completeness (%),Precip. Normal (mm),Precip. Normal Source Flag,Precip. Normal Comment,Air Temp. Avg. Normal (°C),Air Temp. Avg. Normal Source Flag,Air Temp. Avg. Normal Comment,Air Temp. Avg. Min. Normal (°C),Air Temp. Avg. Min. Normal Source Flag,Air Temp. Avg. Min. Normal Comment,Air Temp. Avg. Max. Normal (°C),Air Temp. Avg. Max. Normal Source Flag,Air Temp. Avg. Max. Normal Comment
Edmonton Blatchford,01-Mar-16,-9.8,ACTUAL,100,6.8,ACTUAL,100,-1.6,AGGREGATED,100,72.8,AGGREGATED,0,0.2,AGGREGATED,using element [Precip. Weighing],0.2,AGGREGATED,using element [Precip. Weighing],6.9,AGGREGATED,100,190.3,AGGREGATED,100,0.2,AGGREGATED,Computed based on years 1991-2020,-8.4,AGGREGATED,Computed based on years 1991-2020,-13.7,AGGREGATED,Computed based on years 1991-2020,-3.1,AGGREGATED,Computed based on years 1991-2020
Edmonton Blatchford,02-Mar-16,-2.4,ACTUAL,100,3.4,ACTUAL,100,0.1,AGGREGATED,100,78.7,AGGREGATED,0,0.2,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],10.7,AGGREGATED,100,92.4,AGGREGATED,100,0.9,AGGREGATED,Computed based on years 1991-2020,-7.9,AGGREGATED,Computed based on years 1991-2020,-13.2,AGGREGATED,Computed based on years 1991-2020,-2.7,AGGREGATED,Computed based on years 1991-2020
Edmonton Blatchford,03-Mar-16,-0.4,ACTUAL,100,2.1,ACTUAL,100,0.6,AGGREGATED,100,86.5,AGGREGATED,0,0.2,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],12,AGGREGATED,100,179.8,AGGREGATED,100,1.8,AGGREGATED,Computed based on years 1991-2020,-6.8,AGGREGATED,Computed based on years 1991-2020,-11.7,AGGREGATED,Computed based on years 1991-2020,-1.9,AGGREGATED,Computed based on years 1991-2020
Edmonton Blatchford,04-Mar-16,-3.4,ACTUAL,100,6.6,ACTUAL,100,0.7,AGGREGATED,100,83.4,AGGREGATED,0,0.2,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],12.7,AGGREGATED,100,140.9,AGGREGATED,100,2.7,AGGREGATED,Computed based on years 1991-2020,-8.1,AGGREGATED,Computed based on years 1991-2020,-13.1,AGGREGATED,Computed based on years 1991-2020,-3,AGGREGATED,Computed based on years 1991-2020
Edmonton Blatchford,05-Mar-16,-2.2,ACTUAL,100,13.8,ACTUAL,100,4.2,AGGREGATED,100,73,AGGREGATED,0,0.2,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],6.4,AGGREGATED,100,240.9,AGGREGATED,100,3,AGGREGATED,Computed based on years 1991-2020,-9,AGGREGATED,Computed based on years 1991-2020,-14.3,AGGREGATED,Computed based on years 1991-2020,-3.6,AGGREGATED,Computed based on years 1991-2020
Edmonton Blatchford,06-Mar-16,-3.3,ACTUAL,100,1.4,ACTUAL,100,-0.7,AGGREGATED,100,90.8,AGGREGATED,0,3.6,AGGREGATED,using element [Precip. Weighing],3.4,AGGREGATED,using element [Precip. Weighing],10.8,AGGREGATED,100,53.6,AGGREGATED,100,3.8,AGGREGATED,Computed based on years 1991-2020,-9.1,AGGREGATED,Computed based on years 1991-2020,-14,AGGREGATED,Computed based on years 1991-2020,-4.2,AGGREGATED,Computed based on years 1991-2020
Edmonton Blatchford,07-Mar-16,-1,ACTUAL,100,0.4,ACTUAL,100,-0.2,AGGREGATED,100,94,AGGREGATED,0,4.7,AGGREGATED,using element [Precip. Weighing],1.1,AGGREGATED,using element [Precip. Weighing],6.2,AGGREGATED,100,292.6,AGGREGATED,100,4.7,AGGREGATED,Computed based on years 1991-2020,-8.3,AGGREGATED,Computed based on years 1991-2020,-13.5,AGGREGATED,Computed based on years 1991-2020,-3,AGGREGATED,Computed based on years 1991-2020
Edmonton Blatchford,08-Mar-16,-1.2,ACTUAL,100,2.6,ACTUAL,100,-0.2,AGGREGATED,100,93.1,AGGREGATED,0,4.7,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],7.4,AGGREGATED,100,188.6,AGGREGATED,100,5.2,AGGREGATED,Computed based on years 1991-2020,-7.4,AGGREGATED,Computed based on years 1991-2020,-13.5,AGGREGATED,Computed based on years 1991-2020,-1.3,AGGREGATED,Computed based on years 1991-2020
Edmonton Blatchford,09-Mar-16,-3.6,ACTUAL,100,9.4,ACTUAL,100,2.2,AGGREGATED,100,76.8,AGGREGATED,0,4.7,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],7.4,AGGREGATED,100,186,AGGREGATED,100,5.6,AGGREGATED,Computed based on years 1991-2020,-5.6,AGGREGATED,Computed based on years 1991-2020,-11.3,AGGREGATED,Computed based on years 1991-2020,0,AGGREGATED,Computed based on years 1991-2020
Edmonton Blatchford,10-Mar-16,-1.5,ACTUAL,100,13.4,ACTUAL,100,3.5,AGGREGATED,100,78,AGGREGATED,0,4.7,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],11.9,AGGREGATED,100,119,AGGREGATED,100,6,AGGREGATED,Computed based on years 1991-2020,-4.3,AGGREGATED,Computed based on years 1991-2020,-9.8,AGGREGATED,Computed based on years 1991-2020,1.1,AGGREGATED,Computed based on years 1991-2020
Edmonton Blatchford,11-Mar-16,2.6,ACTUAL,100,12,ACTUAL,100,6.5,AGGREGATED,100,49.2,AGGREGATED,0,4.7,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],10.4,AGGREGATED,100,266.4,AGGREGATED,100,6.6,AGGREGATED,Computed based on years 1991-2020,-3.6,AGGREGATED,Computed based on years 1991-2020,-8.7,AGGREGATED,Computed based on years 1991-2020,1.6,AGGREGATED,Computed based on years 1991-2020
Edmonton Blatchford,12-Mar-16,2.2,ACTUAL,100,10.7,ACTUAL,100,6.4,AGGREGATED,100,57.1,AGGREGATED,0,4.7,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],11.5,AGGREGATED,100,130.1,AGGREGATED,100,7.1,AGGREGATED,Computed based on years 1991-2020,-2.6,AGGREGATED,Computed based on years 1991-2020,-7.6,AGGREGATED,Computed based on years 1991-2020,2.4,AGGREGATED,Computed based on years 1991-2020
