Station Name,Date (Local Standard Time),Air Temp. Min. (°C),Air Temp. Min. Source Flag,Air Temp. Min. Record Completeness (%),Air Temp. Max. (°C),Air Temp. Max. Source Flag,Air Temp. Max. Record Completeness (%),Air Temp. Avg. (°C),Air Temp. Avg. Source Flag,Air Temp. Avg. Record Completeness (%),Relative Humidity Avg. (%),Relative Humidity Avg. Source Flag,Relative Humidity Avg. Record Completeness (%),Precip. Accumulated (mm),Precip. Accumulated Source Flag,Precip. Accumulated Comment,Precip. (mm),Precip. Source Flag,Precip. Comment,Wind Speed 10 m Avg. (km/h),Wind Speed 10 m Avg. Source Flag,Wind Speed 10 m Avg. Record Completeness (%),Wind Dir. 10 m Avg. (°),Wind Dir. 10 m Avg. Source Flag,Wind Dir. 10 m Avg. Record Completeness (%),Precip. Normal (mm),Precip. Normal Source Flag,Precip. Normal Comment,Air Temp. Avg. Normal (°C),Air Temp. Avg. Normal Source Flag,Air Temp. Avg. Normal Comment,Air Temp. Avg. Min. Normal (°C),Air Temp. Avg. Min. Normal Source Flag,Air Temp. Avg. Min. Normal Comment,Air Temp. Avg. Max. Normal (°C),Air Temp. Avg. Max. Normal Source Flag,Air Temp. Avg. Max. Normal Comment
Fort Chipewyan,01-Mar-19,-37.7,ACTUAL,100,-23.5,ACTUAL,100,-28.7,AGGREGATED,100,66.6,AGGREGATED,100,0.8,AGGREGATED,using element [Precip. 1-hr other],0.8,AGGREGATED,using element [Precip. 1-hr other],10.8,AGGREGATED,100,317.2,AGGREGATED,100,0.6,AGGREGATED,Computed based on years 1991-2020,-17.5,AGGREGATED,Computed based on years 1991-2020,-25.1,AGGREGATED,Computed based on years 1991-2020,-9.8,AGGREGATED,Computed based on years 1991-2020
Fort Chipewyan,02-Mar-19,-27.9,ACTUAL,100,-16.8,ACTUAL,100,-22.5,AGGREGATED,100,60.8,AGGREGATED,100,0.8,AGGREGATED,using element [Precip. 1-hr other],0,AGGREGATED,using element [Precip. 1-hr other],15.2,AGGREGATED,100,301.7,AGGREGATED,100,1.1,AGGREGATED,Computed based on years 1991-2020,-15.8,AGGREGATED,Computed based on years 1991-2020,-22.6,AGGREGATED,Computed based on years 1991-2020,-9,AGGREGATED,Computed based on years 1991-2020
Fort Chipewyan,03-Mar-19,-22.4,ACTUAL,100,-9.8,ACTUAL,100,-16.3,AGGREGATED,100,55.1,AGGREGATED,100,0.8,AGGREGATED,using element [Precip. 1-hr other],0,AGGREGATED,using element [Precip. 1-hr other],16.9,AGGREGATED,100,284.1,AGGREGATED,100,1.5,AGGREGATED,Computed based on years 1991-2020,-14.9,AGGREGATED,Computed based on years 1991-2020,-21.3,AGGREGATED,Computed based on years 1991-2020,-8.5,AGGREGATED,Computed based on years 1991-2020
Fort Chipewyan,04-Mar-19,-17.3,ACTUAL,100,-6.4,ACTUAL,100,-11.7,AGGREGATED,100,57.5,AGGREGATED,100,0.8,AGGREGATED,using element [Precip. 1-hr other],0,AGGREGATED,using element [Precip. 1-hr other],18,AGGREGATED,100,296.1,AGGREGATED,100,1.7,AGGREGATED,Computed based on years 1991-2020,-16.3,AGGREGATED,Computed based on years 1991-2020,-23.4,AGGREGATED,Computed based on years 1991-2020,-9.1,AGGREGATED,Computed based on years 1991-2020
Fort Chipewyan,05-Mar-19,-25.5,ACTUAL,100,-11.7,ACTUAL,100,-15.1,AGGREGATED,100,72.8,AGGREGATED,100,0.8,AGGREGATED,using element [Precip. 1-hr other],0,AGGREGATED,using element [Precip. 1-hr other],12,AGGREGATED,100,352.2,AGGREGATED,100,2,AGGREGATED,Computed based on years 1991-2020,-16.5,AGGREGATED,Computed based on years 1991-2020,-22.8,AGGREGATED,Computed based on years 1991-2020,-10.1,AGGREGATED,Computed based on years 1991-2020
Fort Chipewyan,06-Mar-19,-28.8,ACTUAL,100,-9.2,ACTUAL,100,-17.5,AGGREGATED,100,66.9,AGGREGATED,100,1.9,AGGREGATED,using element [Precip. 1-hr other],1.1,AGGREGATED,using element [Precip. 1-hr other],6.5,AGGREGATED,100,178.6,AGGREGATED,100,2.6,AGGREGATED,Computed based on years 1991-2020,-17.8,AGGREGATED,Computed based on years 1991-2020,-25.4,AGGREGATED,Computed based on years 1991-2020,-10.1,AGGREGATED,Computed based on years 1991-2020
Fort Chipewyan,07-Mar-19,-25.6,ACTUAL,100,-6.3,ACTUAL,100,-15.7,AGGREGATED,100,67,AGGREGATED,100,1.9,AGGREGATED,using element [Precip. 1-hr other],0,AGGREGATED,using element [Precip. 1-hr other],5.1,AGGREGATED,100,8.9,AGGREGATED,100,2.9,AGGREGATED,Computed based on years 1991-2020,-16.6,AGGREGATED,Computed based on years 1991-2020,-24,AGGREGATED,Computed based on years 1991-2020,-9.2,AGGREGATED,Computed based on years 1991-2020
Fort Chipewyan,08-Mar-19,-26.2,ACTUAL,100,-3.3,ACTUAL,100,-13.9,AGGREGATED,100,66.6,AGGREGATED,100,1.9,AGGREGATED,using element [Precip. 1-hr other],0,AGGREGATED,using element [Precip. 1-hr other],10.6,AGGREGATED,100,352.2,AGGREGATED,100,3.3,AGGREGATED,Computed based on years 1991-2020,-14.7,AGGREGATED,Computed based on years 1991-2020,-22.3,AGGREGATED,Computed based on years 1991-2020,-7.2,AGGREGATED,Computed based on years 1991-2020
Fort Chipewyan,09-Mar-19,-17.7,ACTUAL,100,-7.6,ACTUAL,100,-11.8,AGGREGATED,100,77.4,AGGREGATED,100,1.9,AGGREGATED,using element [Precip. 1-hr other],0,AGGREGATED,using element [Precip. 1-hr other],10.1,AGGREGATED,100,355.9,AGGREGATED,100,4.4,AGGREGATED,Computed based on years 1991-2020,-13.7,AGGREGATED,Computed based on years 1991-2020,-20.8,AGGREGATED,Computed based on years 1991-2020,-6.7,AGGREGATED,Computed based on years 1991-2020
Fort Chipewyan,10-Mar-19,-17.5,ACTUAL,100,2.7,ACTUAL,100,-6.8,AGGREGATED,100,63.1,AGGREGATED,100,1.9,AGGREGATED,using element [Precip. 1-hr other],0,AGGREGATED,using element [Precip. 1-hr other],10,AGGREGATED,95.8,167.8,AGGREGATED,95.8,5,AGGREGATED,Computed based on years 1991-2020,-13.4,AGGREGATED,Computed based on years 1991-2020,-20.3,AGGREGATED,Computed based on years 1991-2020,-6.5,AGGREGATED,Computed based on years 1991-2020
Fort Chipewyan,11-Mar-19,-7,ACTUAL,91.7,6.1,ACTUAL,91.7,0.5,AGGREGATED,91.7,57.6,AGGREGATED,100,1.9,AGGREGATED,using element [Precip. 1-hr other],0,AGGREGATED,using element [Precip. 1-hr other],17.2,AGGREGATED,95.8,252.7,AGGREGATED,95.8,5.6,AGGREGATED,Computed based on years 1991-2020,-13.1,AGGREGATED,Computed based on years 1991-2020,-19.7,AGGREGATED,Computed based on years 1991-2020,-6.5,AGGREGATED,Computed based on years 1991-2020
Fort Chipewyan,12-Mar-19,-12.1,ACTUAL,95.8,3.8,ACTUAL,95.8,-3.5,AGGREGATED,95.8,71.5,AGGREGATED,100,1.9,AGGREGATED,using element [Precip. 1-hr other],0,AGGREGATED,using element [Precip. 1-hr other],10.5,AGGREGATED,87.5,319.3,AGGREGATED,87.5,6.5,AGGREGATED,Computed based on years 1991-2020,-11.4,AGGREGATED,Computed based on years 1991-2020,-17.8,AGGREGATED,Computed based on years 1991-2020,-5,AGGREGATED,Computed based on years 1991-2020
Fort Chipewyan,13-Mar-19,-9.9,ACTUAL,91.7,-1.5,ACTUAL,91.7,-5.4,AGGREGATED,91.7,70,AGGREGATED,100,1.9,AGGREGATED,using element [Precip. 1-hr other],0,AGGREGATED,using element [Precip. 1-hr other],10.5,AGGREGATED,91.7,297.3,AGGREGATED,91.7,6.9,AGGREGATED,Computed based on years 1991-2020,-12.3,AGGREGATED,Computed based on years 1991-2020,-18.7,AGGREGATED,Computed based on years 1991-2020,-5.8,AGGREGATED,Computed based on years 1991-2020
Fort Chipewyan,14-Mar-19,-21.9,ACTUAL,91.7,-5.9,ACTUAL,91.7,-12.1,AGGREGATED,91.7,70.6,AGGREGATED,100,1.9,AGGREGATED,using element [Precip. 1-hr other],0,AGGREGATED,using element [Precip. 1-hr other],9.4,AGGREGATED,87.5,100.1,AGGREGATED,87.5,7.3,AGGREGATED,Computed based on years 1991-2020,-12.4,AGGREGATED,Computed based on years 1991-2020,-19.3,AGGREGATED,Computed based on years 1991-2020,-5.5,AGGREGATED,Computed based on years 1991-2020
