Station Name,Date (Local Standard Time),Air Temp. Min. (°C),Air Temp. Min. Source Flag,Air Temp. Min. Record Completeness (%),Air Temp. Max. (°C),Air Temp. Max. Source Flag,Air Temp. Max. Record Completeness (%),Air Temp. Avg. (°C),Air Temp. Avg. Source Flag,Air Temp. Avg. Record Completeness (%),Relative Humidity Avg. (%),Relative Humidity Avg. Source Flag,Relative Humidity Avg. Record Completeness (%),Precip. Accumulated (mm),Precip. Accumulated Source Flag,Precip. Accumulated Comment,Precip. (mm),Precip. Source Flag,Precip. Comment,Wind Speed 10 m Avg. (km/h),Wind Speed 10 m Avg. Source Flag,Wind Speed 10 m Avg. Record Completeness (%),Wind Dir. 10 m Avg. (°),Wind Dir. 10 m Avg. Source Flag,Wind Dir. 10 m Avg. Record Completeness (%),Precip. Normal (mm),Precip. Normal Source Flag,Precip. Normal Comment,Air Temp. Avg. Normal (°C),Air Temp. Avg. Normal Source Flag,Air Temp. Avg. Normal Comment,Air Temp. Avg. Min. Normal (°C),Air Temp. Avg. Min. Normal Source Flag,Air Temp. Avg. Min. Normal Comment,Air Temp. Avg. Max. Normal (°C),Air Temp. Avg. Max. Normal Source Flag,Air Temp. Avg. Max. Normal Comment
Fort Macleod AGCM,01-Mar-16,-9.5,ACTUAL,100,7.3,ACTUAL,100,0.2,AGGREGATED,100,61.7,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],10.6,AGGREGATED,100,200.5,AGGREGATED,100,0.4,AGGREGATED,Computed based on years 1991-2020,-4.6,AGGREGATED,Computed based on years 1991-2020,-10.8,AGGREGATED,Computed based on years 1991-2020,1.6,AGGREGATED,Computed based on years 1991-2020
Fort Macleod AGCM,02-Mar-16,-3.2,ACTUAL,100,8.1,ACTUAL,100,2.1,AGGREGATED,100,72.1,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],18,AGGREGATED,100,299.2,AGGREGATED,100,1.4,AGGREGATED,Computed based on years 1991-2020,-3.8,AGGREGATED,Computed based on years 1991-2020,-10.4,AGGREGATED,Computed based on years 1991-2020,2.9,AGGREGATED,Computed based on years 1991-2020
Fort Macleod AGCM,03-Mar-16,-2,ACTUAL,100,12.6,ACTUAL,100,6.4,AGGREGATED,100,46.6,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],30.4,AGGREGATED,100,221.9,AGGREGATED,100,2.2,AGGREGATED,Computed based on years 1991-2020,-4,AGGREGATED,Computed based on years 1991-2020,-10.2,AGGREGATED,Computed based on years 1991-2020,2.3,AGGREGATED,Computed based on years 1991-2020
Fort Macleod AGCM,04-Mar-16,-0.5,ACTUAL,100,14,ACTUAL,100,6.1,AGGREGATED,100,45,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],23.5,AGGREGATED,100,212.3,AGGREGATED,100,3.1,AGGREGATED,Computed based on years 1991-2020,-4.8,AGGREGATED,Computed based on years 1991-2020,-11,AGGREGATED,Computed based on years 1991-2020,1.5,AGGREGATED,Computed based on years 1991-2020
Fort Macleod AGCM,05-Mar-16,-0.5,ACTUAL,100,16.6,ACTUAL,100,6.8,AGGREGATED,100,52.4,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],20.6,AGGREGATED,100,208.7,AGGREGATED,100,3.6,AGGREGATED,Computed based on years 1991-2020,-5.7,AGGREGATED,Computed based on years 1991-2020,-12.3,AGGREGATED,Computed based on years 1991-2020,1,AGGREGATED,Computed based on years 1991-2020
Fort Macleod AGCM,06-Mar-16,2,ACTUAL,100,10.9,ACTUAL,100,5.6,AGGREGATED,100,68.3,AGGREGATED,100,1.2,AGGREGATED,using element [Precip. Weighing],1.2,AGGREGATED,using element [Precip. Weighing],18.2,AGGREGATED,100,207.2,AGGREGATED,100,4.1,AGGREGATED,Computed based on years 1991-2020,-6.1,AGGREGATED,Computed based on years 1991-2020,-12.5,AGGREGATED,Computed based on years 1991-2020,0.3,AGGREGATED,Computed based on years 1991-2020
Fort Macleod AGCM,07-Mar-16,-3.6,ACTUAL,100,12,ACTUAL,100,6.2,AGGREGATED,100,44.7,AGGREGATED,100,1.2,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],21.2,AGGREGATED,100,233.2,AGGREGATED,100,4.4,AGGREGATED,Computed based on years 1991-2020,-4.9,AGGREGATED,Computed based on years 1991-2020,-11.6,AGGREGATED,Computed based on years 1991-2020,1.8,AGGREGATED,Computed based on years 1991-2020
Fort Macleod AGCM,08-Mar-16,-2.3,ACTUAL,100,9.8,ACTUAL,100,3.7,AGGREGATED,100,48.4,AGGREGATED,100,1.2,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],26.3,AGGREGATED,100,227.3,AGGREGATED,100,4.8,AGGREGATED,Computed based on years 1991-2020,-3.9,AGGREGATED,Computed based on years 1991-2020,-11.2,AGGREGATED,Computed based on years 1991-2020,3.4,AGGREGATED,Computed based on years 1991-2020
Fort Macleod AGCM,09-Mar-16,-4.6,ACTUAL,100,9.4,ACTUAL,100,2.2,AGGREGATED,100,46.4,AGGREGATED,100,1.2,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],23.1,AGGREGATED,100,225.5,AGGREGATED,100,5.4,AGGREGATED,Computed based on years 1991-2020,-1.8,AGGREGATED,Computed based on years 1991-2020,-8.6,AGGREGATED,Computed based on years 1991-2020,5,AGGREGATED,Computed based on years 1991-2020
Fort Macleod AGCM,10-Mar-16,-1.2,ACTUAL,100,14.6,ACTUAL,100,6,AGGREGATED,100,53.3,AGGREGATED,100,1.2,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],32,AGGREGATED,100,204,AGGREGATED,100,5.5,AGGREGATED,Computed based on years 1991-2020,-0.9,AGGREGATED,Computed based on years 1991-2020,-8,AGGREGATED,Computed based on years 1991-2020,6.1,AGGREGATED,Computed based on years 1991-2020
