Station Name,Date (Local Standard Time),Air Temp. Min. (°C),Air Temp. Min. Source Flag,Air Temp. Min. Record Completeness (%),Air Temp. Max. (°C),Air Temp. Max. Source Flag,Air Temp. Max. Record Completeness (%),Air Temp. Avg. (°C),Air Temp. Avg. Source Flag,Air Temp. Avg. Record Completeness (%),Relative Humidity Avg. (%),Relative Humidity Avg. Source Flag,Relative Humidity Avg. Record Completeness (%),Precip. Accumulated (mm),Precip. Accumulated Source Flag,Precip. Accumulated Comment,Precip. (mm),Precip. Source Flag,Precip. Comment,Wind Speed 10 m Avg. (km/h),Wind Speed 10 m Avg. Source Flag,Wind Speed 10 m Avg. Record Completeness (%),Wind Dir. 10 m Avg. (°),Wind Dir. 10 m Avg. Source Flag,Wind Dir. 10 m Avg. Record Completeness (%),Precip. Normal (mm),Precip. Normal Source Flag,Precip. Normal Comment,Air Temp. Avg. Normal (°C),Air Temp. Avg. Normal Source Flag,Air Temp. Avg. Normal Comment,Air Temp. Avg. Min. Normal (°C),Air Temp. Avg. Min. Normal Source Flag,Air Temp. Avg. Min. Normal Comment,Air Temp. Avg. Max. Normal (°C),Air Temp. Avg. Max. Normal Source Flag,Air Temp. Avg. Max. Normal Comment
Fort Mcmurray A,01-Mar-19,-30.6,ACTUAL,100,-22.9,ACTUAL,100,-26.5,AGGREGATED,100,66.1,AGGREGATED,100,0.2,AGGREGATED,using element [Precip. 1-hr other],0.2,AGGREGATED,using element [Precip. 1-hr other],13.5,AGGREGATED,100,320.8,AGGREGATED,100,0.3,AGGREGATED,Computed based on years 1991-2020,-12.7,AGGREGATED,Computed based on years 1991-2020,-20.6,AGGREGATED,Computed based on years 1991-2020,-4.8,AGGREGATED,Computed based on years 1991-2020
Fort Mcmurray A,02-Mar-19,-29.7,ACTUAL,100,-16.8,ACTUAL,100,-23.5,AGGREGATED,100,65.5,AGGREGATED,100,0.6,AGGREGATED,using element [Precip. 1-hr other],0.4,AGGREGATED,using element [Precip. 1-hr other],13.4,AGGREGATED,100,285.7,AGGREGATED,100,0.5,AGGREGATED,Computed based on years 1991-2020,-11.4,AGGREGATED,Computed based on years 1991-2020,-19.2,AGGREGATED,Computed based on years 1991-2020,-3.5,AGGREGATED,Computed based on years 1991-2020
Fort Mcmurray A,03-Mar-19,-25.3,ACTUAL,100,-9.4,ACTUAL,100,-16.9,AGGREGATED,100,56.3,AGGREGATED,100,0.6,AGGREGATED,using element [Precip. 1-hr other],0,AGGREGATED,using element [Precip. 1-hr other],12.3,AGGREGATED,100,265.6,AGGREGATED,100,1,AGGREGATED,Computed based on years 1991-2020,-10.5,AGGREGATED,Computed based on years 1991-2020,-16.8,AGGREGATED,Computed based on years 1991-2020,-4.2,AGGREGATED,Computed based on years 1991-2020
Fort Mcmurray A,04-Mar-19,-18,ACTUAL,100,-3.5,ACTUAL,100,-11.4,AGGREGATED,100,51.2,AGGREGATED,100,0.6,AGGREGATED,using element [Precip. 1-hr other],0,AGGREGATED,using element [Precip. 1-hr other],13.5,AGGREGATED,100,275.3,AGGREGATED,100,1.2,AGGREGATED,Computed based on years 1991-2020,-11.2,AGGREGATED,Computed based on years 1991-2020,-17.9,AGGREGATED,Computed based on years 1991-2020,-4.4,AGGREGATED,Computed based on years 1991-2020
Fort Mcmurray A,05-Mar-19,-19.5,ACTUAL,100,-11.5,ACTUAL,100,-14.1,AGGREGATED,100,72.6,AGGREGATED,100,0.6,AGGREGATED,using element [Precip. 1-hr other],0,AGGREGATED,using element [Precip. 1-hr other],14.6,AGGREGATED,100,337.7,AGGREGATED,100,1.8,AGGREGATED,Computed based on years 1991-2020,-11.8,AGGREGATED,Computed based on years 1991-2020,-18.6,AGGREGATED,Computed based on years 1991-2020,-5,AGGREGATED,Computed based on years 1991-2020
Fort Mcmurray A,06-Mar-19,-20.2,ACTUAL,100,-7.7,ACTUAL,100,-14.4,AGGREGATED,100,66.8,AGGREGATED,100,0.6,AGGREGATED,using element [Precip. 1-hr other],0,AGGREGATED,using element [Precip. 1-hr other],8.7,AGGREGATED,100,145.6,AGGREGATED,100,2.2,AGGREGATED,Computed based on years 1991-2020,-12.7,AGGREGATED,Computed based on years 1991-2020,-19.9,AGGREGATED,Computed based on years 1991-2020,-5.4,AGGREGATED,Computed based on years 1991-2020
Fort Mcmurray A,07-Mar-19,-26.7,ACTUAL,100,-4.7,ACTUAL,100,-14.2,AGGREGATED,100,62.1,AGGREGATED,100,0.6,AGGREGATED,using element [Precip. 1-hr other],0,AGGREGATED,using element [Precip. 1-hr other],6.6,AGGREGATED,100,91.2,AGGREGATED,100,2.5,AGGREGATED,Computed based on years 1991-2020,-11.8,AGGREGATED,Computed based on years 1991-2020,-19.4,AGGREGATED,Computed based on years 1991-2020,-4.3,AGGREGATED,Computed based on years 1991-2020
Fort Mcmurray A,08-Mar-19,-16.8,ACTUAL,100,-1.4,ACTUAL,100,-9.6,AGGREGATED,100,57.2,AGGREGATED,100,0.6,AGGREGATED,using element [Precip. 1-hr other],0,AGGREGATED,using element [Precip. 1-hr other],7,AGGREGATED,100,8.8,AGGREGATED,100,2.9,AGGREGATED,Computed based on years 1991-2020,-10,AGGREGATED,Computed based on years 1991-2020,-17.8,AGGREGATED,Computed based on years 1991-2020,-2.1,AGGREGATED,Computed based on years 1991-2020
Fort Mcmurray A,09-Mar-19,-15.9,ACTUAL,100,-8.2,ACTUAL,100,-10.9,AGGREGATED,100,74.8,AGGREGATED,100,0.6,AGGREGATED,using element [Precip. 1-hr other],0,AGGREGATED,using element [Precip. 1-hr other],10.1,AGGREGATED,100,326,AGGREGATED,100,3.2,AGGREGATED,Computed based on years 1991-2020,-7.9,AGGREGATED,Computed based on years 1991-2020,-14.9,AGGREGATED,Computed based on years 1991-2020,-1,AGGREGATED,Computed based on years 1991-2020
Fort Mcmurray A,10-Mar-19,-19,ACTUAL,100,4.7,ACTUAL,100,-6.9,AGGREGATED,100,60.5,AGGREGATED,100,0.6,AGGREGATED,using element [Precip. 1-hr other],0,AGGREGATED,using element [Precip. 1-hr other],14.3,AGGREGATED,100,140.8,AGGREGATED,100,3.7,AGGREGATED,Computed based on years 1991-2020,-8,AGGREGATED,Computed based on years 1991-2020,-14.6,AGGREGATED,Computed based on years 1991-2020,-1.4,AGGREGATED,Computed based on years 1991-2020
