Station Name,Date (Local Standard Time),Air Temp. Min. (°C),Air Temp. Min. Source Flag,Air Temp. Min. Record Completeness (%),Air Temp. Max. (°C),Air Temp. Max. Source Flag,Air Temp. Max. Record Completeness (%),Air Temp. Avg. (°C),Air Temp. Avg. Source Flag,Air Temp. Avg. Record Completeness (%),Relative Humidity Avg. (%),Relative Humidity Avg. Source Flag,Relative Humidity Avg. Record Completeness (%),Precip. Accumulated (mm),Precip. Accumulated Source Flag,Precip. Accumulated Comment,Precip. (mm),Precip. Source Flag,Precip. Comment,Wind Speed 10 m Avg. (km/h),Wind Speed 10 m Avg. Source Flag,Wind Speed 10 m Avg. Record Completeness (%),Wind Dir. 10 m Avg. (°),Wind Dir. 10 m Avg. Source Flag,Wind Dir. 10 m Avg. Record Completeness (%),Precip. Normal (mm),Precip. Normal Source Flag,Precip. Normal Comment,Air Temp. Avg. Normal (°C),Air Temp. Avg. Normal Source Flag,Air Temp. Avg. Normal Comment,Air Temp. Avg. Min. Normal (°C),Air Temp. Avg. Min. Normal Source Flag,Air Temp. Avg. Min. Normal Comment,Air Temp. Avg. Max. Normal (°C),Air Temp. Avg. Max. Normal Source Flag,Air Temp. Avg. Max. Normal Comment
Economy Creek Auto,01-Mar-22,-10.5,ACTUAL,100,-6.6,ACTUAL,100,-8.8,AGGREGATED,100,88.4,AGGREGATED,100,,MISSING,,,MISSING,,3,AGGREGATED,100,356.5,AGGREGATED,100,0.5,AGGREGATED,Computed based on years 1991-2020,-8.7,AGGREGATED,Computed based on years 1991-2020,-15.1,AGGREGATED,Computed based on years 1991-2020,-2.3,AGGREGATED,Computed based on years 1991-2020
Economy Creek Auto,02-Mar-22,-9.2,ACTUAL,100,-4.7,ACTUAL,100,-7,AGGREGATED,100,91.8,AGGREGATED,100,,MISSING,,,MISSING,,2.7,AGGREGATED,100,58.5,AGGREGATED,100,1.2,AGGREGATED,Computed based on years 1991-2020,-8,AGGREGATED,Computed based on years 1991-2020,-14.3,AGGREGATED,Computed based on years 1991-2020,-1.7,AGGREGATED,Computed based on years 1991-2020
Economy Creek Auto,03-Mar-22,-7.7,ACTUAL,100,-1.8,ACTUAL,100,-5.2,AGGREGATED,100,85.2,AGGREGATED,100,,MISSING,,,MISSING,,2.6,AGGREGATED,100,64.2,AGGREGATED,100,2.5,AGGREGATED,Computed based on years 1991-2020,-8.1,AGGREGATED,Computed based on years 1991-2020,-13.5,AGGREGATED,Computed based on years 1991-2020,-2.7,AGGREGATED,Computed based on years 1991-2020
Economy Creek Auto,04-Mar-22,-7.9,ACTUAL,100,-3.6,ACTUAL,100,-6.1,AGGREGATED,100,90.4,AGGREGATED,100,,MISSING,,,MISSING,,3,AGGREGATED,100,295.4,AGGREGATED,100,3.4,AGGREGATED,Computed based on years 1991-2020,-9,AGGREGATED,Computed based on years 1991-2020,-15.3,AGGREGATED,Computed based on years 1991-2020,-2.8,AGGREGATED,Computed based on years 1991-2020
Economy Creek Auto,05-Mar-22,-8.6,ACTUAL,100,1.4,ACTUAL,100,-4.5,AGGREGATED,100,79.2,AGGREGATED,100,,MISSING,,,MISSING,,3.9,AGGREGATED,100,280.3,AGGREGATED,100,4.3,AGGREGATED,Computed based on years 1991-2020,-9.3,AGGREGATED,Computed based on years 1991-2020,-15.7,AGGREGATED,Computed based on years 1991-2020,-2.9,AGGREGATED,Computed based on years 1991-2020
Economy Creek Auto,06-Mar-22,-9.2,ACTUAL,100,7.1,ACTUAL,100,-1.1,AGGREGATED,100,60.6,AGGREGATED,100,,MISSING,,,MISSING,,6.3,AGGREGATED,100,217.7,AGGREGATED,100,5.1,AGGREGATED,Computed based on years 1991-2020,-9.2,AGGREGATED,Computed based on years 1991-2020,-15.5,AGGREGATED,Computed based on years 1991-2020,-2.8,AGGREGATED,Computed based on years 1991-2020
Economy Creek Auto,07-Mar-22,-9,ACTUAL,100,5.7,ACTUAL,100,-3,AGGREGATED,100,73.4,AGGREGATED,100,,MISSING,,,MISSING,,9.3,AGGREGATED,100,324.6,AGGREGATED,100,5.9,AGGREGATED,Computed based on years 1991-2020,-8.5,AGGREGATED,Computed based on years 1991-2020,-15.1,AGGREGATED,Computed based on years 1991-2020,-1.9,AGGREGATED,Computed based on years 1991-2020
Economy Creek Auto,08-Mar-22,-15.2,ACTUAL,100,-8,ACTUAL,100,-10.9,AGGREGATED,100,72.8,AGGREGATED,100,,MISSING,,,MISSING,,4.2,AGGREGATED,100,320.4,AGGREGATED,100,6.2,AGGREGATED,Computed based on years 1991-2020,-6.9,AGGREGATED,Computed based on years 1991-2020,-13.8,AGGREGATED,Computed based on years 1991-2020,0.1,AGGREGATED,Computed based on years 1991-2020
Economy Creek Auto,09-Mar-22,-17.1,ACTUAL,100,-1.6,ACTUAL,100,-9.9,AGGREGATED,100,55.7,AGGREGATED,100,,MISSING,,,MISSING,,6.1,AGGREGATED,100,252.5,AGGREGATED,100,6.8,AGGREGATED,Computed based on years 1991-2020,-5.3,AGGREGATED,Computed based on years 1991-2020,-11.7,AGGREGATED,Computed based on years 1991-2020,1.1,AGGREGATED,Computed based on years 1991-2020
Economy Creek Auto,10-Mar-22,-12.9,ACTUAL,100,-4.6,ACTUAL,100,-8.4,AGGREGATED,100,44,AGGREGATED,100,,MISSING,,,MISSING,,6.2,AGGREGATED,100,358.8,AGGREGATED,100,7.4,AGGREGATED,Computed based on years 1991-2020,-4.9,AGGREGATED,Computed based on years 1991-2020,-10.8,AGGREGATED,Computed based on years 1991-2020,1,AGGREGATED,Computed based on years 1991-2020
