Station Name,Date (Local Standard Time),Air Temp. Min. (°C),Air Temp. Min. Source Flag,Air Temp. Min. Record Completeness (%),Air Temp. Max. (°C),Air Temp. Max. Source Flag,Air Temp. Max. Record Completeness (%),Air Temp. Avg. (°C),Air Temp. Avg. Source Flag,Air Temp. Avg. Record Completeness (%),Relative Humidity Avg. (%),Relative Humidity Avg. Source Flag,Relative Humidity Avg. Record Completeness (%),Precip. Accumulated (mm),Precip. Accumulated Source Flag,Precip. Accumulated Comment,Precip. (mm),Precip. Source Flag,Precip. Comment,Wind Speed 10 m Avg. (km/h),Wind Speed 10 m Avg. Source Flag,Wind Speed 10 m Avg. Record Completeness (%),Wind Dir. 10 m Avg. (°),Wind Dir. 10 m Avg. Source Flag,Wind Dir. 10 m Avg. Record Completeness (%),Precip. Normal (mm),Precip. Normal Source Flag,Precip. Normal Comment,Air Temp. Avg. Normal (°C),Air Temp. Avg. Normal Source Flag,Air Temp. Avg. Normal Comment,Air Temp. Avg. Min. Normal (°C),Air Temp. Avg. Min. Normal Source Flag,Air Temp. Avg. Min. Normal Comment,Air Temp. Avg. Max. Normal (°C),Air Temp. Avg. Max. Normal Source Flag,Air Temp. Avg. Max. Normal Comment
Jean Lake Auto,01-Mar-22,-17.8,ACTUAL,100,-7.7,ACTUAL,100,-13.1,AGGREGATED,100,82.8,AGGREGATED,100,,MISSING,,,MISSING,,4.3,AGGREGATED,100,87,AGGREGATED,100,0.3,AGGREGATED,Computed based on years 1991-2020,-12.8,AGGREGATED,Computed based on years 1991-2020,-21,AGGREGATED,Computed based on years 1991-2020,-4.7,AGGREGATED,Computed based on years 1991-2020
Jean Lake Auto,02-Mar-22,-20,ACTUAL,100,-7.3,ACTUAL,100,-13.5,AGGREGATED,100,65.2,AGGREGATED,100,,MISSING,,,MISSING,,10.6,AGGREGATED,100,128.7,AGGREGATED,100,0.5,AGGREGATED,Computed based on years 1991-2020,-11.9,AGGREGATED,Computed based on years 1991-2020,-19.8,AGGREGATED,Computed based on years 1991-2020,-4.1,AGGREGATED,Computed based on years 1991-2020
Jean Lake Auto,03-Mar-22,-10.5,ACTUAL,100,-4.4,ACTUAL,100,-8.2,AGGREGATED,100,85.3,AGGREGATED,100,,MISSING,,,MISSING,,10.2,AGGREGATED,100,141.4,AGGREGATED,100,0.7,AGGREGATED,Computed based on years 1991-2020,-11.6,AGGREGATED,Computed based on years 1991-2020,-18.4,AGGREGATED,Computed based on years 1991-2020,-4.7,AGGREGATED,Computed based on years 1991-2020
Jean Lake Auto,04-Mar-22,-15.8,ACTUAL,100,-0.2,ACTUAL,100,-6.6,AGGREGATED,100,83,AGGREGATED,100,,MISSING,,,MISSING,,8.1,AGGREGATED,100,159.1,AGGREGATED,100,1.2,AGGREGATED,Computed based on years 1991-2020,-12,AGGREGATED,Computed based on years 1991-2020,-19.3,AGGREGATED,Computed based on years 1991-2020,-4.7,AGGREGATED,Computed based on years 1991-2020
Jean Lake Auto,05-Mar-22,-19.3,ACTUAL,100,-0.9,ACTUAL,100,-11,AGGREGATED,100,86.6,AGGREGATED,100,,MISSING,,,MISSING,,3.8,AGGREGATED,100,243.7,AGGREGATED,100,1.8,AGGREGATED,Computed based on years 1991-2020,-12.5,AGGREGATED,Computed based on years 1991-2020,-19.4,AGGREGATED,Computed based on years 1991-2020,-5.5,AGGREGATED,Computed based on years 1991-2020
Jean Lake Auto,06-Mar-22,-23.2,ACTUAL,100,4.2,ACTUAL,100,-7.6,AGGREGATED,100,65.8,AGGREGATED,100,,MISSING,,,MISSING,,7.5,AGGREGATED,100,202.7,AGGREGATED,100,2.5,AGGREGATED,Computed based on years 1991-2020,-13.3,AGGREGATED,Computed based on years 1991-2020,-20.9,AGGREGATED,Computed based on years 1991-2020,-5.7,AGGREGATED,Computed based on years 1991-2020
Jean Lake Auto,07-Mar-22,-12.4,ACTUAL,100,-0.5,ACTUAL,100,-7.7,AGGREGATED,100,88.9,AGGREGATED,100,,MISSING,,,MISSING,,15.9,AGGREGATED,100,315.5,AGGREGATED,100,2.9,AGGREGATED,Computed based on years 1991-2020,-11.9,AGGREGATED,Computed based on years 1991-2020,-19.7,AGGREGATED,Computed based on years 1991-2020,-4.1,AGGREGATED,Computed based on years 1991-2020
Jean Lake Auto,08-Mar-22,-22.7,ACTUAL,100,-11.7,ACTUAL,100,-15,AGGREGATED,100,74.5,AGGREGATED,100,,MISSING,,,MISSING,,9.8,AGGREGATED,100,329.5,AGGREGATED,100,3.1,AGGREGATED,Computed based on years 1991-2020,-10.1,AGGREGATED,Computed based on years 1991-2020,-18.3,AGGREGATED,Computed based on years 1991-2020,-1.9,AGGREGATED,Computed based on years 1991-2020
Jean Lake Auto,09-Mar-22,-26.9,ACTUAL,100,-6.7,ACTUAL,100,-14.4,AGGREGATED,100,68.8,AGGREGATED,100,,MISSING,,,MISSING,,9.5,AGGREGATED,100,277.4,AGGREGATED,100,3.7,AGGREGATED,Computed based on years 1991-2020,-8.7,AGGREGATED,Computed based on years 1991-2020,-16.5,AGGREGATED,Computed based on years 1991-2020,-0.9,AGGREGATED,Computed based on years 1991-2020
Jean Lake Auto,10-Mar-22,-31.5,ACTUAL,100,-14.9,ACTUAL,100,-22.3,AGGREGATED,100,56.4,AGGREGATED,100,,MISSING,,,MISSING,,7.8,AGGREGATED,100,334.6,AGGREGATED,100,4.4,AGGREGATED,Computed based on years 1991-2020,-8.8,AGGREGATED,Computed based on years 1991-2020,-15.6,AGGREGATED,Computed based on years 1991-2020,-2,AGGREGATED,Computed based on years 1991-2020
