Station Name,Date (Local Standard Time),Air Temp. Min. (°C),Air Temp. Min. Source Flag,Air Temp. Min. Record Completeness (%),Air Temp. Max. (°C),Air Temp. Max. Source Flag,Air Temp. Max. Record Completeness (%),Air Temp. Avg. (°C),Air Temp. Avg. Source Flag,Air Temp. Avg. Record Completeness (%),Relative Humidity Avg. (%),Relative Humidity Avg. Source Flag,Relative Humidity Avg. Record Completeness (%),Precip. Accumulated (mm),Precip. Accumulated Source Flag,Precip. Accumulated Comment,Precip. (mm),Precip. Source Flag,Precip. Comment,Wind Speed 10 m Avg. (km/h),Wind Speed 10 m Avg. Source Flag,Wind Speed 10 m Avg. Record Completeness (%),Wind Dir. 10 m Avg. (°),Wind Dir. 10 m Avg. Source Flag,Wind Dir. 10 m Avg. Record Completeness (%),Precip. Normal (mm),Precip. Normal Source Flag,Precip. Normal Comment,Air Temp. Avg. Normal (°C),Air Temp. Avg. Normal Source Flag,Air Temp. Avg. Normal Comment,Air Temp. Avg. Min. Normal (°C),Air Temp. Avg. Min. Normal Source Flag,Air Temp. Avg. Min. Normal Comment,Air Temp. Avg. Max. Normal (°C),Air Temp. Avg. Max. Normal Source Flag,Air Temp. Avg. Max. Normal Comment
Whitesands Auto,01-Mar-16,-15.6,ACTUAL,100,-9.4,ACTUAL,100,-13.3,AGGREGATED,100,86.8,AGGREGATED,100,,MISSING,,,MISSING,,5.8,AGGREGATED,100,114,AGGREGATED,100,1.1,AGGREGATED,Computed based on years 1991-2020,-15.8,AGGREGATED,Computed based on years 1991-2020,-22.8,AGGREGATED,Computed based on years 1991-2020,-8.8,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,02-Mar-16,-15.4,ACTUAL,100,-8.3,ACTUAL,100,-13,AGGREGATED,100,85.2,AGGREGATED,100,,MISSING,,,MISSING,,5.8,AGGREGATED,100,131.4,AGGREGATED,100,1.3,AGGREGATED,Computed based on years 1991-2020,-15.1,AGGREGATED,Computed based on years 1991-2020,-21.3,AGGREGATED,Computed based on years 1991-2020,-8.9,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,03-Mar-16,-19.4,ACTUAL,100,-11.2,ACTUAL,100,-14.9,AGGREGATED,100,80.7,AGGREGATED,100,,MISSING,,,MISSING,,7.2,AGGREGATED,100,311.6,AGGREGATED,100,1.7,AGGREGATED,Computed based on years 1991-2020,-14.7,AGGREGATED,Computed based on years 1991-2020,-20.9,AGGREGATED,Computed based on years 1991-2020,-8.6,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,04-Mar-16,-18.3,ACTUAL,100,-8,ACTUAL,100,-13.3,AGGREGATED,100,76.9,AGGREGATED,100,,MISSING,,,MISSING,,15.3,AGGREGATED,100,184,AGGREGATED,100,2,AGGREGATED,Computed based on years 1991-2020,-15.6,AGGREGATED,Computed based on years 1991-2020,-22.2,AGGREGATED,Computed based on years 1991-2020,-9,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,05-Mar-16,-18.4,ACTUAL,100,-9.6,ACTUAL,100,-13.3,AGGREGATED,100,90.4,AGGREGATED,100,,MISSING,,,MISSING,,7.9,AGGREGATED,100,34.6,AGGREGATED,100,2.3,AGGREGATED,Computed based on years 1991-2020,-16.2,AGGREGATED,Computed based on years 1991-2020,-22.1,AGGREGATED,Computed based on years 1991-2020,-10.2,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,06-Mar-16,-19.5,ACTUAL,100,-8.1,ACTUAL,100,-15.3,AGGREGATED,100,74,AGGREGATED,100,,MISSING,,,MISSING,,11,AGGREGATED,100,106.4,AGGREGATED,100,2.8,AGGREGATED,Computed based on years 1991-2020,-17.2,AGGREGATED,Computed based on years 1991-2020,-23.4,AGGREGATED,Computed based on years 1991-2020,-10.9,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,07-Mar-16,-16.4,ACTUAL,100,-6.3,ACTUAL,100,-12,AGGREGATED,100,87.7,AGGREGATED,100,,MISSING,,,MISSING,,12.3,AGGREGATED,100,122.2,AGGREGATED,100,3.4,AGGREGATED,Computed based on years 1991-2020,-15.2,AGGREGATED,Computed based on years 1991-2020,-21.9,AGGREGATED,Computed based on years 1991-2020,-8.4,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,08-Mar-16,-16.2,ACTUAL,100,-6.6,ACTUAL,100,-12.2,AGGREGATED,100,85.6,AGGREGATED,100,,MISSING,,,MISSING,,5.2,AGGREGATED,100,265.5,AGGREGATED,100,3.5,AGGREGATED,Computed based on years 1991-2020,-13.8,AGGREGATED,Computed based on years 1991-2020,-21,AGGREGATED,Computed based on years 1991-2020,-6.6,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,09-Mar-16,-15,ACTUAL,100,0.9,ACTUAL,100,-8.4,AGGREGATED,100,86.8,AGGREGATED,100,,MISSING,,,MISSING,,8.6,AGGREGATED,100,188.7,AGGREGATED,100,3.8,AGGREGATED,Computed based on years 1991-2020,-13.2,AGGREGATED,Computed based on years 1991-2020,-20.3,AGGREGATED,Computed based on years 1991-2020,-6,AGGREGATED,Computed based on years 1991-2020
Whitesands Auto,10-Mar-16,-6,ACTUAL,100,3.9,ACTUAL,100,-1.7,AGGREGATED,100,77,AGGREGATED,100,,MISSING,,,MISSING,,15.1,AGGREGATED,100,152.6,AGGREGATED,100,4.2,AGGREGATED,Computed based on years 1991-2020,-13.2,AGGREGATED,Computed based on years 1991-2020,-20,AGGREGATED,Computed based on years 1991-2020,-6.4,AGGREGATED,Computed based on years 1991-2020
