Station Name,Date (Local Standard Time),Air Temp. Min. (°C),Air Temp. Min. Source Flag,Air Temp. Min. Record Completeness (%),Air Temp. Max. (°C),Air Temp. Max. Source Flag,Air Temp. Max. Record Completeness (%),Air Temp. Avg. (°C),Air Temp. Avg. Source Flag,Air Temp. Avg. Record Completeness (%),Relative Humidity Avg. (%),Relative Humidity Avg. Source Flag,Relative Humidity Avg. Record Completeness (%),Precip. Accumulated (mm),Precip. Accumulated Source Flag,Precip. Accumulated Comment,Precip. (mm),Precip. Source Flag,Precip. Comment,Wind Speed 10 m Avg. (km/h),Wind Speed 10 m Avg. Source Flag,Wind Speed 10 m Avg. Record Completeness (%),Wind Dir. 10 m Avg. (°),Wind Dir. 10 m Avg. Source Flag,Wind Dir. 10 m Avg. Record Completeness (%),Precip. Normal (mm),Precip. Normal Source Flag,Precip. Normal Comment,Air Temp. Avg. Normal (°C),Air Temp. Avg. Normal Source Flag,Air Temp. Avg. Normal Comment,Air Temp. Avg. Min. Normal (°C),Air Temp. Avg. Min. Normal Source Flag,Air Temp. Avg. Min. Normal Comment,Air Temp. Avg. Max. Normal (°C),Air Temp. Avg. Max. Normal Source Flag,Air Temp. Avg. Max. Normal Comment
Hawk Hills Auto,01-Mar-22,-17.3,ACTUAL,100,-14.3,ACTUAL,100,-15.9,AGGREGATED,100,84.2,AGGREGATED,100,,MISSING,,,MISSING,,4.9,AGGREGATED,100,44,AGGREGATED,100,0.3,AGGREGATED,Computed based on years 1991-2020,-12.2,AGGREGATED,Computed based on years 1991-2020,-19.5,AGGREGATED,Computed based on years 1991-2020,-4.8,AGGREGATED,Computed based on years 1991-2020
Hawk Hills Auto,02-Mar-22,-18.2,ACTUAL,100,-11.1,ACTUAL,100,-14.8,AGGREGATED,100,85.1,AGGREGATED,100,,MISSING,,,MISSING,,6.1,AGGREGATED,100,137.2,AGGREGATED,100,1,AGGREGATED,Computed based on years 1991-2020,-11.8,AGGREGATED,Computed based on years 1991-2020,-19.5,AGGREGATED,Computed based on years 1991-2020,-4.2,AGGREGATED,Computed based on years 1991-2020
Hawk Hills Auto,03-Mar-22,-12.7,ACTUAL,100,-6.4,ACTUAL,100,-8.8,AGGREGATED,100,88.3,AGGREGATED,100,,MISSING,,,MISSING,,6.2,AGGREGATED,100,194.9,AGGREGATED,100,1.4,AGGREGATED,Computed based on years 1991-2020,-11.9,AGGREGATED,Computed based on years 1991-2020,-19,AGGREGATED,Computed based on years 1991-2020,-4.8,AGGREGATED,Computed based on years 1991-2020
Hawk Hills Auto,04-Mar-22,-7.5,ACTUAL,100,-1.8,ACTUAL,100,-5.5,AGGREGATED,100,85.9,AGGREGATED,100,,MISSING,,,MISSING,,4.3,AGGREGATED,100,221.7,AGGREGATED,100,1.8,AGGREGATED,Computed based on years 1991-2020,-12.7,AGGREGATED,Computed based on years 1991-2020,-20.2,AGGREGATED,Computed based on years 1991-2020,-5.2,AGGREGATED,Computed based on years 1991-2020
Hawk Hills Auto,05-Mar-22,-5.4,ACTUAL,100,-1.7,ACTUAL,100,-3.9,AGGREGATED,100,64.7,AGGREGATED,100,,MISSING,,,MISSING,,10.1,AGGREGATED,100,317.1,AGGREGATED,100,2.3,AGGREGATED,Computed based on years 1991-2020,-12.9,AGGREGATED,Computed based on years 1991-2020,-19.6,AGGREGATED,Computed based on years 1991-2020,-6.2,AGGREGATED,Computed based on years 1991-2020
Hawk Hills Auto,06-Mar-22,-7.9,ACTUAL,100,4.8,ACTUAL,100,-1.1,AGGREGATED,100,57.8,AGGREGATED,100,,MISSING,,,MISSING,,8.3,AGGREGATED,100,233.2,AGGREGATED,100,2.6,AGGREGATED,Computed based on years 1991-2020,-13.2,AGGREGATED,Computed based on years 1991-2020,-20.4,AGGREGATED,Computed based on years 1991-2020,-6,AGGREGATED,Computed based on years 1991-2020
Hawk Hills Auto,07-Mar-22,-9.1,ACTUAL,100,2.9,ACTUAL,100,-6,AGGREGATED,100,68.2,AGGREGATED,100,,MISSING,,,MISSING,,20.3,AGGREGATED,100,345.1,AGGREGATED,100,3,AGGREGATED,Computed based on years 1991-2020,-11.9,AGGREGATED,Computed based on years 1991-2020,-19.8,AGGREGATED,Computed based on years 1991-2020,-4.1,AGGREGATED,Computed based on years 1991-2020
Hawk Hills Auto,08-Mar-22,-15.8,ACTUAL,100,-8.7,ACTUAL,100,-13.2,AGGREGATED,100,67.9,AGGREGATED,100,,MISSING,,,MISSING,,13.6,AGGREGATED,100,344.6,AGGREGATED,100,3.2,AGGREGATED,Computed based on years 1991-2020,-10.5,AGGREGATED,Computed based on years 1991-2020,-18.9,AGGREGATED,Computed based on years 1991-2020,-2,AGGREGATED,Computed based on years 1991-2020
Hawk Hills Auto,09-Mar-22,-16.6,ACTUAL,100,-4.2,ACTUAL,100,-10.5,AGGREGATED,100,57.1,AGGREGATED,100,,MISSING,,,MISSING,,10,AGGREGATED,100,291.6,AGGREGATED,100,4.3,AGGREGATED,Computed based on years 1991-2020,-9,AGGREGATED,Computed based on years 1991-2020,-16.1,AGGREGATED,Computed based on years 1991-2020,-1.9,AGGREGATED,Computed based on years 1991-2020
Hawk Hills Auto,10-Mar-22,-22.6,ACTUAL,100,-11.9,ACTUAL,100,-17.9,AGGREGATED,100,57.6,AGGREGATED,100,,MISSING,,,MISSING,,10.2,AGGREGATED,100,0.6,AGGREGATED,100,5.8,AGGREGATED,Computed based on years 1991-2020,-9.2,AGGREGATED,Computed based on years 1991-2020,-16,AGGREGATED,Computed based on years 1991-2020,-2.3,AGGREGATED,Computed based on years 1991-2020
