Station Name,Date (Local Standard Time),Air Temp. Min. (°C),Air Temp. Min. Source Flag,Air Temp. Min. Record Completeness (%),Air Temp. Max. (°C),Air Temp. Max. Source Flag,Air Temp. Max. Record Completeness (%),Air Temp. Avg. (°C),Air Temp. Avg. Source Flag,Air Temp. Avg. Record Completeness (%),Relative Humidity Avg. (%),Relative Humidity Avg. Source Flag,Relative Humidity Avg. Record Completeness (%),Precip. Accumulated (mm),Precip. Accumulated Source Flag,Precip. Accumulated Comment,Precip. (mm),Precip. Source Flag,Precip. Comment,Wind Speed 10 m Avg. (km/h),Wind Speed 10 m Avg. Source Flag,Wind Speed 10 m Avg. Record Completeness (%),Wind Dir. 10 m Avg. (°),Wind Dir. 10 m Avg. Source Flag,Wind Dir. 10 m Avg. Record Completeness (%),Precip. Normal (mm),Precip. Normal Source Flag,Precip. Normal Comment,Air Temp. Avg. Normal (°C),Air Temp. Avg. Normal Source Flag,Air Temp. Avg. Normal Comment,Air Temp. Avg. Min. Normal (°C),Air Temp. Avg. Min. Normal Source Flag,Air Temp. Avg. Min. Normal Comment,Air Temp. Avg. Max. Normal (°C),Air Temp. Avg. Max. Normal Source Flag,Air Temp. Avg. Max. Normal Comment
Cambrian Auto,01-Mar-19,-35.3,ACTUAL,100,-23,ACTUAL,100,-29,AGGREGATED,100,57.3,AGGREGATED,100,,MISSING,,,MISSING,,12.1,AGGREGATED,100,313.5,AGGREGATED,100,0.5,AGGREGATED,Computed based on years 1991-2020,-17.2,AGGREGATED,Computed based on years 1991-2020,-24.5,AGGREGATED,Computed based on years 1991-2020,-9.9,AGGREGATED,Computed based on years 1991-2020
Cambrian Auto,02-Mar-19,-30,ACTUAL,100,-16.3,ACTUAL,100,-23.4,AGGREGATED,100,55.4,AGGREGATED,100,,MISSING,,,MISSING,,13.7,AGGREGATED,100,302.3,AGGREGATED,100,1,AGGREGATED,Computed based on years 1991-2020,-15.8,AGGREGATED,Computed based on years 1991-2020,-22.6,AGGREGATED,Computed based on years 1991-2020,-9,AGGREGATED,Computed based on years 1991-2020
Cambrian Auto,03-Mar-19,-22.4,ACTUAL,100,-9.3,ACTUAL,100,-16.1,AGGREGATED,100,47,AGGREGATED,100,,MISSING,,,MISSING,,12.6,AGGREGATED,100,284.1,AGGREGATED,100,1.4,AGGREGATED,Computed based on years 1991-2020,-14.8,AGGREGATED,Computed based on years 1991-2020,-21.1,AGGREGATED,Computed based on years 1991-2020,-8.6,AGGREGATED,Computed based on years 1991-2020
Cambrian Auto,04-Mar-19,-14.9,ACTUAL,100,-6.8,ACTUAL,100,-12.4,AGGREGATED,100,53.6,AGGREGATED,100,,MISSING,,,MISSING,,16,AGGREGATED,100,291,AGGREGATED,100,1.6,AGGREGATED,Computed based on years 1991-2020,-15.9,AGGREGATED,Computed based on years 1991-2020,-22.9,AGGREGATED,Computed based on years 1991-2020,-9,AGGREGATED,Computed based on years 1991-2020
Cambrian Auto,05-Mar-19,-17.5,ACTUAL,100,-11.9,ACTUAL,100,-14.9,AGGREGATED,100,73,AGGREGATED,100,,MISSING,,,MISSING,,12.2,AGGREGATED,100,296.2,AGGREGATED,100,1.9,AGGREGATED,Computed based on years 1991-2020,-16.4,AGGREGATED,Computed based on years 1991-2020,-22.6,AGGREGATED,Computed based on years 1991-2020,-10.3,AGGREGATED,Computed based on years 1991-2020
Cambrian Auto,06-Mar-19,-20.4,ACTUAL,100,-5.7,ACTUAL,100,-14.1,AGGREGATED,100,65.6,AGGREGATED,100,,MISSING,,,MISSING,,12.4,AGGREGATED,100,189.6,AGGREGATED,100,2.5,AGGREGATED,Computed based on years 1991-2020,-17.5,AGGREGATED,Computed based on years 1991-2020,-24.7,AGGREGATED,Computed based on years 1991-2020,-10.3,AGGREGATED,Computed based on years 1991-2020
Cambrian Auto,07-Mar-19,-17.3,ACTUAL,100,-1.5,ACTUAL,100,-10.6,AGGREGATED,100,56.7,AGGREGATED,100,,MISSING,,,MISSING,,11,AGGREGATED,100,198.9,AGGREGATED,100,2.8,AGGREGATED,Computed based on years 1991-2020,-16.5,AGGREGATED,Computed based on years 1991-2020,-23.7,AGGREGATED,Computed based on years 1991-2020,-9.2,AGGREGATED,Computed based on years 1991-2020
Cambrian Auto,08-Mar-19,-15.4,ACTUAL,100,-2.6,ACTUAL,100,-9.4,AGGREGATED,100,58,AGGREGATED,100,,MISSING,,,MISSING,,10.3,AGGREGATED,100,254.8,AGGREGATED,100,3.2,AGGREGATED,Computed based on years 1991-2020,-14.4,AGGREGATED,Computed based on years 1991-2020,-21.7,AGGREGATED,Computed based on years 1991-2020,-7.1,AGGREGATED,Computed based on years 1991-2020
Cambrian Auto,09-Mar-19,-15.9,ACTUAL,100,-5.3,ACTUAL,100,-11.6,AGGREGATED,100,72.5,AGGREGATED,100,,MISSING,,,MISSING,,9,AGGREGATED,100,277.2,AGGREGATED,100,4.1,AGGREGATED,Computed based on years 1991-2020,-13.6,AGGREGATED,Computed based on years 1991-2020,-20.6,AGGREGATED,Computed based on years 1991-2020,-6.7,AGGREGATED,Computed based on years 1991-2020
Cambrian Auto,10-Mar-19,-17.4,ACTUAL,100,3.1,ACTUAL,100,-6.9,AGGREGATED,100,60.3,AGGREGATED,100,,MISSING,,,MISSING,,13.9,AGGREGATED,100,166.8,AGGREGATED,100,4.8,AGGREGATED,Computed based on years 1991-2020,-13.3,AGGREGATED,Computed based on years 1991-2020,-20.1,AGGREGATED,Computed based on years 1991-2020,-6.6,AGGREGATED,Computed based on years 1991-2020
Cambrian Auto,11-Mar-19,-1.5,ACTUAL,100,7.7,ACTUAL,100,2.2,AGGREGATED,100,50.3,AGGREGATED,100,,MISSING,,,MISSING,,15.5,AGGREGATED,100,209.4,AGGREGATED,100,5.1,AGGREGATED,Computed based on years 1991-2020,-12.9,AGGREGATED,Computed based on years 1991-2020,-19.4,AGGREGATED,Computed based on years 1991-2020,-6.3,AGGREGATED,Computed based on years 1991-2020
Cambrian Auto,12-Mar-19,-5.1,ACTUAL,100,4.2,ACTUAL,100,-0.8,AGGREGATED,100,56.3,AGGREGATED,100,,MISSING,,,MISSING,,11.5,AGGREGATED,100,269.5,AGGREGATED,100,6,AGGREGATED,Computed based on years 1991-2020,-11.3,AGGREGATED,Computed based on years 1991-2020,-17.5,AGGREGATED,Computed based on years 1991-2020,-5.1,AGGREGATED,Computed based on years 1991-2020
Cambrian Auto,13-Mar-19,-10.9,ACTUAL,100,-1.1,ACTUAL,100,-6.6,AGGREGATED,100,68,AGGREGATED,100,,MISSING,,,MISSING,,9.6,AGGREGATED,100,274.8,AGGREGATED,100,6.4,AGGREGATED,Computed based on years 1991-2020,-12.2,AGGREGATED,Computed based on years 1991-2020,-18.4,AGGREGATED,Computed based on years 1991-2020,-6,AGGREGATED,Computed based on years 1991-2020
Cambrian Auto,14-Mar-19,-16.9,ACTUAL,100,-3,ACTUAL,100,-10.5,AGGREGATED,100,67.5,AGGREGATED,100,,MISSING,,,MISSING,,7.6,AGGREGATED,100,74.3,AGGREGATED,100,6.8,AGGREGATED,Computed based on years 1991-2020,-12,AGGREGATED,Computed based on years 1991-2020,-18.6,AGGREGATED,Computed based on years 1991-2020,-5.4,AGGREGATED,Computed based on years 1991-2020
Cambrian Auto,15-Mar-19,-12.8,ACTUAL,100,7.2,ACTUAL,100,-3.8,AGGREGATED,100,63.2,AGGREGATED,100,,MISSING,,,MISSING,,9.7,AGGREGATED,100,118,AGGREGATED,100,7.1,AGGREGATED,Computed based on years 1991-2020,-11.2,AGGREGATED,Computed based on years 1991-2020,-17.4,AGGREGATED,Computed based on years 1991-2020,-4.9,AGGREGATED,Computed based on years 1991-2020
Cambrian Auto,16-Mar-19,-4.9,ACTUAL,100,8.1,ACTUAL,100,1.1,AGGREGATED,100,60.5,AGGREGATED,100,,MISSING,,,MISSING,,10.5,AGGREGATED,100,259.9,AGGREGATED,100,7.4,AGGREGATED,Computed based on years 1991-2020,-11.8,AGGREGATED,Computed based on years 1991-2020,-19.2,AGGREGATED,Computed based on years 1991-2020,-4.5,AGGREGATED,Computed based on years 1991-2020
Cambrian Auto,17-Mar-19,-4.8,ACTUAL,100,9.6,ACTUAL,100,2.7,AGGREGATED,100,48.2,AGGREGATED,100,,MISSING,,,MISSING,,14,AGGREGATED,100,213.7,AGGREGATED,100,8.3,AGGREGATED,Computed based on years 1991-2020,-10.3,AGGREGATED,Computed based on years 1991-2020,-16.6,AGGREGATED,Computed based on years 1991-2020,-4,AGGREGATED,Computed based on years 1991-2020
Cambrian Auto,18-Mar-19,-2.2,ACTUAL,100,11.4,ACTUAL,100,5,AGGREGATED,100,53.9,AGGREGATED,100,,MISSING,,,MISSING,,13.8,AGGREGATED,100,223.3,AGGREGATED,100,8.7,AGGREGATED,Computed based on years 1991-2020,-10.1,AGGREGATED,Computed based on years 1991-2020,-16.5,AGGREGATED,Computed based on years 1991-2020,-3.7,AGGREGATED,Computed based on years 1991-2020
Cambrian Auto,19-Mar-19,2,ACTUAL,100,16.5,ACTUAL,100,8.9,AGGREGATED,100,47.8,AGGREGATED,100,,MISSING,,,MISSING,,11.3,AGGREGATED,100,233,AGGREGATED,100,9,AGGREGATED,Computed based on years 1991-2020,-9.5,AGGREGATED,Computed based on years 1991-2020,-16,AGGREGATED,Computed based on years 1991-2020,-2.9,AGGREGATED,Computed based on years 1991-2020
Cambrian Auto,20-Mar-19,3.6,ACTUAL,100,16.8,ACTUAL,100,9.3,AGGREGATED,100,38.9,AGGREGATED,100,,MISSING,,,MISSING,,12.9,AGGREGATED,100,307.6,AGGREGATED,100,9.4,AGGREGATED,Computed based on years 1991-2020,-9.8,AGGREGATED,Computed based on years 1991-2020,-15.7,AGGREGATED,Computed based on years 1991-2020,-3.8,AGGREGATED,Computed based on years 1991-2020
Cambrian Auto,21-Mar-19,-1.6,ACTUAL,100,9.9,ACTUAL,100,4.2,AGGREGATED,100,59.6,AGGREGATED,100,,MISSING,,,MISSING,,11.1,AGGREGATED,100,106.5,AGGREGATED,100,9.9,AGGREGATED,Computed based on years 1991-2020,-9.1,AGGREGATED,Computed based on years 1991-2020,-15.5,AGGREGATED,Computed based on years 1991-2020,-2.6,AGGREGATED,Computed based on years 1991-2020
Cambrian Auto,22-Mar-19,0.8,ACTUAL,100,14.5,ACTUAL,100,6.9,AGGREGATED,100,50.7,AGGREGATED,100,,MISSING,,,MISSING,,13.1,AGGREGATED,100,300.1,AGGREGATED,100,10.4,AGGREGATED,Computed based on years 1991-2020,-8.3,AGGREGATED,Computed based on years 1991-2020,-15.4,AGGREGATED,Computed based on years 1991-2020,-1.2,AGGREGATED,Computed based on years 1991-2020
Cambrian Auto,23-Mar-19,-13.3,ACTUAL,100,0.6,ACTUAL,100,-7.1,AGGREGATED,100,59.1,AGGREGATED,100,,MISSING,,,MISSING,,14.8,AGGREGATED,100,49.4,AGGREGATED,100,11,AGGREGATED,Computed based on years 1991-2020,-8.3,AGGREGATED,Computed based on years 1991-2020,-14.7,AGGREGATED,Computed based on years 1991-2020,-1.9,AGGREGATED,Computed based on years 1991-2020
Cambrian Auto,24-Mar-19,-16.4,ACTUAL,100,1.6,ACTUAL,100,-7.3,AGGREGATED,100,53.9,AGGREGATED,100,,MISSING,,,MISSING,,10.8,AGGREGATED,100,100.1,AGGREGATED,100,11.2,AGGREGATED,Computed based on years 1991-2020,-8.8,AGGREGATED,Computed based on years 1991-2020,-15.8,AGGREGATED,Computed based on years 1991-2020,-1.8,AGGREGATED,Computed based on years 1991-2020
