Station Name,Date (Local Standard Time),Air Temp. Min. (°C),Air Temp. Min. Source Flag,Air Temp. Min. Record Completeness (%),Air Temp. Max. (°C),Air Temp. Max. Source Flag,Air Temp. Max. Record Completeness (%),Air Temp. Avg. (°C),Air Temp. Avg. Source Flag,Air Temp. Avg. Record Completeness (%),Relative Humidity Avg. (%),Relative Humidity Avg. Source Flag,Relative Humidity Avg. Record Completeness (%),Precip. Accumulated (mm),Precip. Accumulated Source Flag,Precip. Accumulated Comment,Precip. (mm),Precip. Source Flag,Precip. Comment,Wind Speed 10 m Avg. (km/h),Wind Speed 10 m Avg. Source Flag,Wind Speed 10 m Avg. Record Completeness (%),Wind Dir. 10 m Avg. (°),Wind Dir. 10 m Avg. Source Flag,Wind Dir. 10 m Avg. Record Completeness (%),Precip. Normal (mm),Precip. Normal Source Flag,Precip. Normal Comment,Air Temp. Avg. Normal (°C),Air Temp. Avg. Normal Source Flag,Air Temp. Avg. Normal Comment,Air Temp. Avg. Min. Normal (°C),Air Temp. Avg. Min. Normal Source Flag,Air Temp. Avg. Min. Normal Comment,Air Temp. Avg. Max. Normal (°C),Air Temp. Avg. Max. Normal Source Flag,Air Temp. Avg. Max. Normal Comment
Lac La Biche Climate,01-Mar-19,-28.1,ACTUAL,100,-19.8,ACTUAL,100,-24.1,AGGREGATED,100,56.9,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],12.8,AGGREGATED,100,338.9,AGGREGATED,100,0.4,AGGREGATED,Computed based on years 1991-2020,-11,AGGREGATED,Computed based on years 1991-2020,-17.9,AGGREGATED,Computed based on years 1991-2020,-4.1,AGGREGATED,Computed based on years 1991-2020
Lac La Biche Climate,02-Mar-19,-31.4,ACTUAL,100,-16.2,ACTUAL,100,-22.7,AGGREGATED,100,57.2,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],12.1,AGGREGATED,100,317.3,AGGREGATED,100,0.6,AGGREGATED,Computed based on years 1991-2020,-10.3,AGGREGATED,Computed based on years 1991-2020,-16.9,AGGREGATED,Computed based on years 1991-2020,-3.7,AGGREGATED,Computed based on years 1991-2020
Lac La Biche Climate,03-Mar-19,-25,ACTUAL,100,-10.6,ACTUAL,100,-18.2,AGGREGATED,100,50.6,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],12.5,AGGREGATED,100,306.3,AGGREGATED,100,1.3,AGGREGATED,Computed based on years 1991-2020,-9.3,AGGREGATED,Computed based on years 1991-2020,-15,AGGREGATED,Computed based on years 1991-2020,-3.7,AGGREGATED,Computed based on years 1991-2020
Lac La Biche Climate,04-Mar-19,-18.7,ACTUAL,100,-3,ACTUAL,100,-12,AGGREGATED,100,40.6,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],13.3,AGGREGATED,100,299.5,AGGREGATED,100,1.7,AGGREGATED,Computed based on years 1991-2020,-9.7,AGGREGATED,Computed based on years 1991-2020,-15.5,AGGREGATED,Computed based on years 1991-2020,-3.8,AGGREGATED,Computed based on years 1991-2020
Lac La Biche Climate,05-Mar-19,-18,ACTUAL,100,-8.5,ACTUAL,100,-12.3,AGGREGATED,100,62,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],12.6,AGGREGATED,100,339.6,AGGREGATED,100,1.9,AGGREGATED,Computed based on years 1991-2020,-10.5,AGGREGATED,Computed based on years 1991-2020,-16.4,AGGREGATED,Computed based on years 1991-2020,-4.6,AGGREGATED,Computed based on years 1991-2020
Lac La Biche Climate,06-Mar-19,-20.6,ACTUAL,100,-11.5,ACTUAL,100,-15.9,AGGREGATED,100,68.8,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],10.7,AGGREGATED,100,154.7,AGGREGATED,100,2.8,AGGREGATED,Computed based on years 1991-2020,-11.2,AGGREGATED,Computed based on years 1991-2020,-17.1,AGGREGATED,Computed based on years 1991-2020,-5.2,AGGREGATED,Computed based on years 1991-2020
Lac La Biche Climate,07-Mar-19,-21.3,ACTUAL,100,-10.4,ACTUAL,100,-15.5,AGGREGATED,100,65.8,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],6,AGGREGATED,100,153.5,AGGREGATED,100,3.1,AGGREGATED,Computed based on years 1991-2020,-10.4,AGGREGATED,Computed based on years 1991-2020,-16.9,AGGREGATED,Computed based on years 1991-2020,-3.9,AGGREGATED,Computed based on years 1991-2020
Lac La Biche Climate,08-Mar-19,-11.6,ACTUAL,100,-2.4,ACTUAL,100,-7.7,AGGREGATED,100,62.9,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],8.9,AGGREGATED,100,325.2,AGGREGATED,100,3.2,AGGREGATED,Computed based on years 1991-2020,-9.2,AGGREGATED,Computed based on years 1991-2020,-16.1,AGGREGATED,Computed based on years 1991-2020,-2.4,AGGREGATED,Computed based on years 1991-2020
Lac La Biche Climate,09-Mar-19,-15.4,ACTUAL,100,-2.2,ACTUAL,100,-8.4,AGGREGATED,100,59.1,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],6.2,AGGREGATED,100,326,AGGREGATED,100,3.4,AGGREGATED,Computed based on years 1991-2020,-7.4,AGGREGATED,Computed based on years 1991-2020,-13.5,AGGREGATED,Computed based on years 1991-2020,-1.2,AGGREGATED,Computed based on years 1991-2020
Lac La Biche Climate,10-Mar-19,-17.6,ACTUAL,100,2.2,ACTUAL,100,-8,AGGREGATED,100,60.8,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],10.5,AGGREGATED,100,186.4,AGGREGATED,100,3.6,AGGREGATED,Computed based on years 1991-2020,-5.9,AGGREGATED,Computed based on years 1991-2020,-12.1,AGGREGATED,Computed based on years 1991-2020,0.2,AGGREGATED,Computed based on years 1991-2020
