Station Name,Date (Local Standard Time),Air Temp. Min. (°C),Air Temp. Min. Source Flag,Air Temp. Min. Record Completeness (%),Air Temp. Max. (°C),Air Temp. Max. Source Flag,Air Temp. Max. Record Completeness (%),Air Temp. Avg. (°C),Air Temp. Avg. Source Flag,Air Temp. Avg. Record Completeness (%),Relative Humidity Avg. (%),Relative Humidity Avg. Source Flag,Relative Humidity Avg. Record Completeness (%),Precip. Accumulated (mm),Precip. Accumulated Source Flag,Precip. Accumulated Comment,Precip. (mm),Precip. Source Flag,Precip. Comment,Wind Speed 10 m Avg. (km/h),Wind Speed 10 m Avg. Source Flag,Wind Speed 10 m Avg. Record Completeness (%),Wind Dir. 10 m Avg. (°),Wind Dir. 10 m Avg. Source Flag,Wind Dir. 10 m Avg. Record Completeness (%),Precip. Normal (mm),Precip. Normal Source Flag,Precip. Normal Comment,Air Temp. Avg. Normal (°C),Air Temp. Avg. Normal Source Flag,Air Temp. Avg. Normal Comment,Air Temp. Avg. Min. Normal (°C),Air Temp. Avg. Min. Normal Source Flag,Air Temp. Avg. Min. Normal Comment,Air Temp. Avg. Max. Normal (°C),Air Temp. Avg. Max. Normal Source Flag,Air Temp. Avg. Max. Normal Comment
Loon River Auto,01-Mar-16,-17.2,ACTUAL,100,5.6,ACTUAL,100,-6.4,AGGREGATED,100,66.2,AGGREGATED,100,,MISSING,,,MISSING,,6.3,AGGREGATED,100,47.5,AGGREGATED,100,0.1,AGGREGATED,Computed based on years 1991-2020,-11.9,AGGREGATED,Computed based on years 1991-2020,-20.3,AGGREGATED,Computed based on years 1991-2020,-3.6,AGGREGATED,Computed based on years 1991-2020
Loon River Auto,02-Mar-16,-14.6,ACTUAL,100,-3.8,ACTUAL,100,-9.3,AGGREGATED,100,71.3,AGGREGATED,100,,MISSING,,,MISSING,,6.6,AGGREGATED,100,347.5,AGGREGATED,100,0.6,AGGREGATED,Computed based on years 1991-2020,-11.5,AGGREGATED,Computed based on years 1991-2020,-19.6,AGGREGATED,Computed based on years 1991-2020,-3.3,AGGREGATED,Computed based on years 1991-2020
Loon River Auto,03-Mar-16,-15.6,ACTUAL,100,-6.6,ACTUAL,100,-9.4,AGGREGATED,100,83.4,AGGREGATED,100,,MISSING,,,MISSING,,9,AGGREGATED,100,348.4,AGGREGATED,100,0.8,AGGREGATED,Computed based on years 1991-2020,-11.7,AGGREGATED,Computed based on years 1991-2020,-19,AGGREGATED,Computed based on years 1991-2020,-4.4,AGGREGATED,Computed based on years 1991-2020
Loon River Auto,04-Mar-16,-23.7,ACTUAL,100,-2,ACTUAL,100,-10.7,AGGREGATED,100,71.2,AGGREGATED,100,,MISSING,,,MISSING,,6.6,AGGREGATED,100,123.8,AGGREGATED,100,1.4,AGGREGATED,Computed based on years 1991-2020,-11.9,AGGREGATED,Computed based on years 1991-2020,-19.7,AGGREGATED,Computed based on years 1991-2020,-4.1,AGGREGATED,Computed based on years 1991-2020
Loon River Auto,05-Mar-16,-9.4,ACTUAL,100,-3,ACTUAL,100,-6.1,AGGREGATED,100,88,AGGREGATED,100,,MISSING,,,MISSING,,9.7,AGGREGATED,100,7.9,AGGREGATED,100,2.1,AGGREGATED,Computed based on years 1991-2020,-12.1,AGGREGATED,Computed based on years 1991-2020,-18.8,AGGREGATED,Computed based on years 1991-2020,-5.4,AGGREGATED,Computed based on years 1991-2020
Loon River Auto,06-Mar-16,-10.2,ACTUAL,100,-4.8,ACTUAL,100,-8.4,AGGREGATED,100,82.2,AGGREGATED,100,,MISSING,,,MISSING,,9.4,AGGREGATED,100,340.4,AGGREGATED,100,2.4,AGGREGATED,Computed based on years 1991-2020,-12.6,AGGREGATED,Computed based on years 1991-2020,-20.3,AGGREGATED,Computed based on years 1991-2020,-4.9,AGGREGATED,Computed based on years 1991-2020
Loon River Auto,07-Mar-16,-11.8,ACTUAL,100,-3.7,ACTUAL,100,-7.6,AGGREGATED,100,81.1,AGGREGATED,100,,MISSING,,,MISSING,,5.5,AGGREGATED,100,338.6,AGGREGATED,100,2.8,AGGREGATED,Computed based on years 1991-2020,-11.2,AGGREGATED,Computed based on years 1991-2020,-19.1,AGGREGATED,Computed based on years 1991-2020,-3.4,AGGREGATED,Computed based on years 1991-2020
Loon River Auto,08-Mar-16,-7.7,ACTUAL,100,-2.1,ACTUAL,100,-5.2,AGGREGATED,100,90.5,AGGREGATED,100,,MISSING,,,MISSING,,4.1,AGGREGATED,100,358.9,AGGREGATED,100,3,AGGREGATED,Computed based on years 1991-2020,-9.6,AGGREGATED,Computed based on years 1991-2020,-18.1,AGGREGATED,Computed based on years 1991-2020,-1,AGGREGATED,Computed based on years 1991-2020
Loon River Auto,09-Mar-16,-6.9,ACTUAL,100,7.2,ACTUAL,100,-1.4,AGGREGATED,100,86.5,AGGREGATED,100,,MISSING,,,MISSING,,4.4,AGGREGATED,100,154.5,AGGREGATED,100,3.8,AGGREGATED,Computed based on years 1991-2020,-8.2,AGGREGATED,Computed based on years 1991-2020,-16.2,AGGREGATED,Computed based on years 1991-2020,-0.3,AGGREGATED,Computed based on years 1991-2020
Loon River Auto,10-Mar-16,-11.9,ACTUAL,100,-0.3,ACTUAL,100,-4.6,AGGREGATED,100,89.4,AGGREGATED,100,,MISSING,,,MISSING,,7.4,AGGREGATED,100,126.2,AGGREGATED,100,4.4,AGGREGATED,Computed based on years 1991-2020,-8.3,AGGREGATED,Computed based on years 1991-2020,-15.1,AGGREGATED,Computed based on years 1991-2020,-1.4,AGGREGATED,Computed based on years 1991-2020
