Station Name,Date (Local Standard Time),Air Temp. Min. (°C),Air Temp. Min. Source Flag,Air Temp. Min. Record Completeness (%),Air Temp. Max. (°C),Air Temp. Max. Source Flag,Air Temp. Max. Record Completeness (%),Air Temp. Avg. (°C),Air Temp. Avg. Source Flag,Air Temp. Avg. Record Completeness (%),Relative Humidity Avg. (%),Relative Humidity Avg. Source Flag,Relative Humidity Avg. Record Completeness (%),Precip. Accumulated (mm),Precip. Accumulated Source Flag,Precip. Accumulated Comment,Precip. (mm),Precip. Source Flag,Precip. Comment,Wind Speed 10 m Avg. (km/h),Wind Speed 10 m Avg. Source Flag,Wind Speed 10 m Avg. Record Completeness (%),Wind Dir. 10 m Avg. (°),Wind Dir. 10 m Avg. Source Flag,Wind Dir. 10 m Avg. Record Completeness (%),Precip. Normal (mm),Precip. Normal Source Flag,Precip. Normal Comment,Air Temp. Avg. Normal (°C),Air Temp. Avg. Normal Source Flag,Air Temp. Avg. Normal Comment,Air Temp. Avg. Min. Normal (°C),Air Temp. Avg. Min. Normal Source Flag,Air Temp. Avg. Min. Normal Comment,Air Temp. Avg. Max. Normal (°C),Air Temp. Avg. Max. Normal Source Flag,Air Temp. Avg. Max. Normal Comment
Entrance Auto,13-Mar-16,-4.5,ACTUAL,100,8.1,ACTUAL,100,2.1,AGGREGATED,100,60.2,AGGREGATED,100,,MISSING,,,MISSING,,9.6,AGGREGATED,100,255.4,AGGREGATED,100,0.8,AGGREGATED,Computed based on years 1991-2020,-1.4,AGGREGATED,Computed based on years 1991-2020,-8.4,AGGREGATED,Computed based on years 1991-2020,5.6,AGGREGATED,Computed based on years 1991-2020
Entrance Auto,14-Mar-16,-4.3,ACTUAL,100,6.9,ACTUAL,100,-0.2,AGGREGATED,100,73.2,AGGREGATED,100,,MISSING,,,MISSING,,4.8,AGGREGATED,100,88.8,AGGREGATED,100,1.6,AGGREGATED,Computed based on years 1991-2020,-1.4,AGGREGATED,Computed based on years 1991-2020,-8,AGGREGATED,Computed based on years 1991-2020,5.3,AGGREGATED,Computed based on years 1991-2020
Entrance Auto,15-Mar-16,-6.1,ACTUAL,100,8.1,ACTUAL,100,0.3,AGGREGATED,100,72.9,AGGREGATED,100,,MISSING,,,MISSING,,6.5,AGGREGATED,100,263.6,AGGREGATED,100,2.8,AGGREGATED,Computed based on years 1991-2020,-1.9,AGGREGATED,Computed based on years 1991-2020,-8.5,AGGREGATED,Computed based on years 1991-2020,4.7,AGGREGATED,Computed based on years 1991-2020
Entrance Auto,16-Mar-16,-7,ESTIMATED,0,2.7,ESTIMATED,0,-2.6,AGGREGATED,0,59.7,AGGREGATED,0,,MISSING,,,MISSING,,8.7,AGGREGATED,0,303,AGGREGATED,100,4.4,AGGREGATED,Computed based on years 1991-2020,-2.4,AGGREGATED,Computed based on years 1991-2020,-8.9,AGGREGATED,Computed based on years 1991-2020,4.1,AGGREGATED,Computed based on years 1991-2020
Entrance Auto,17-Mar-16,-6.6,ACTUAL,100,1.8,ACTUAL,100,-2.2,AGGREGATED,100,83.8,AGGREGATED,100,,MISSING,,,MISSING,,7,AGGREGATED,100,311.5,AGGREGATED,100,5.1,AGGREGATED,Computed based on years 1991-2020,-1.7,AGGREGATED,Computed based on years 1991-2020,-8.6,AGGREGATED,Computed based on years 1991-2020,5.3,AGGREGATED,Computed based on years 1991-2020
Entrance Auto,18-Mar-16,-13,ACTUAL,100,7,ACTUAL,100,-3.4,AGGREGATED,100,64.8,AGGREGATED,100,,MISSING,,,MISSING,,4.5,AGGREGATED,100,310.2,AGGREGATED,100,6.1,AGGREGATED,Computed based on years 1991-2020,-1.6,AGGREGATED,Computed based on years 1991-2020,-8.5,AGGREGATED,Computed based on years 1991-2020,5.3,AGGREGATED,Computed based on years 1991-2020
Entrance Auto,19-Mar-16,-8.7,ACTUAL,100,10.7,ACTUAL,100,1.6,AGGREGATED,100,45,AGGREGATED,100,,MISSING,,,MISSING,,7.5,AGGREGATED,100,67.5,AGGREGATED,100,6.4,AGGREGATED,Computed based on years 1991-2020,-1.4,AGGREGATED,Computed based on years 1991-2020,-8.6,AGGREGATED,Computed based on years 1991-2020,5.7,AGGREGATED,Computed based on years 1991-2020
Entrance Auto,20-Mar-16,-3.3,ACTUAL,100,11.7,ACTUAL,100,3.5,AGGREGATED,100,58.5,AGGREGATED,100,,MISSING,,,MISSING,,6.4,AGGREGATED,100,55.4,AGGREGATED,100,7.3,AGGREGATED,Computed based on years 1991-2020,-1.5,AGGREGATED,Computed based on years 1991-2020,-8.7,AGGREGATED,Computed based on years 1991-2020,5.7,AGGREGATED,Computed based on years 1991-2020
Entrance Auto,21-Mar-16,-1.7,ACTUAL,100,1.3,ACTUAL,100,-0.2,AGGREGATED,100,99,AGGREGATED,100,,MISSING,,,MISSING,,7.4,AGGREGATED,100,66.1,AGGREGATED,100,8.8,AGGREGATED,Computed based on years 1991-2020,-1.2,AGGREGATED,Computed based on years 1991-2020,-7.4,AGGREGATED,Computed based on years 1991-2020,4.9,AGGREGATED,Computed based on years 1991-2020
Entrance Auto,22-Mar-16,-3.7,ACTUAL,100,5.1,ACTUAL,100,-0.2,AGGREGATED,100,94.2,AGGREGATED,100,,MISSING,,,MISSING,,5,AGGREGATED,100,79.5,AGGREGATED,100,9.1,AGGREGATED,Computed based on years 1991-2020,-1.3,AGGREGATED,Computed based on years 1991-2020,-7.5,AGGREGATED,Computed based on years 1991-2020,4.8,AGGREGATED,Computed based on years 1991-2020
Entrance Auto,23-Mar-16,-4.5,ACTUAL,100,8.5,ACTUAL,100,2.5,AGGREGATED,100,76.2,AGGREGATED,100,,MISSING,,,MISSING,,7.7,AGGREGATED,100,255.1,AGGREGATED,100,9.6,AGGREGATED,Computed based on years 1991-2020,-1.4,AGGREGATED,Computed based on years 1991-2020,-7.3,AGGREGATED,Computed based on years 1991-2020,4.4,AGGREGATED,Computed based on years 1991-2020
Entrance Auto,24-Mar-16,-0.7,ACTUAL,100,3.5,ACTUAL,100,0.7,AGGREGATED,100,98.3,AGGREGATED,100,,MISSING,,,MISSING,,4.2,AGGREGATED,100,118.4,AGGREGATED,100,10.4,AGGREGATED,Computed based on years 1991-2020,-1.5,AGGREGATED,Computed based on years 1991-2020,-8.4,AGGREGATED,Computed based on years 1991-2020,5.3,AGGREGATED,Computed based on years 1991-2020
Entrance Auto,25-Mar-16,-3.1,ACTUAL,100,8.6,ACTUAL,100,1.9,AGGREGATED,100,76,AGGREGATED,100,,MISSING,,,MISSING,,6.3,AGGREGATED,100,254.2,AGGREGATED,100,10.6,AGGREGATED,Computed based on years 1991-2020,-0.3,AGGREGATED,Computed based on years 1991-2020,-7.4,AGGREGATED,Computed based on years 1991-2020,6.8,AGGREGATED,Computed based on years 1991-2020
Entrance Auto,26-Mar-16,-6.8,ACTUAL,100,10.8,ACTUAL,100,2.1,AGGREGATED,100,61.1,AGGREGATED,100,,MISSING,,,MISSING,,8.9,AGGREGATED,100,252.2,AGGREGATED,100,11.1,AGGREGATED,Computed based on years 1991-2020,-0.1,AGGREGATED,Computed based on years 1991-2020,-7.1,AGGREGATED,Computed based on years 1991-2020,7,AGGREGATED,Computed based on years 1991-2020
Entrance Auto,27-Mar-16,-6.2,ACTUAL,100,9.4,ACTUAL,100,2.5,AGGREGATED,100,64.6,AGGREGATED,100,,MISSING,,,MISSING,,6.5,AGGREGATED,100,276.1,AGGREGATED,100,11.8,AGGREGATED,Computed based on years 1991-2020,0.8,AGGREGATED,Computed based on years 1991-2020,-5.6,AGGREGATED,Computed based on years 1991-2020,7.2,AGGREGATED,Computed based on years 1991-2020
Entrance Auto,28-Mar-16,-3.3,ACTUAL,100,9.3,ACTUAL,100,3.6,AGGREGATED,100,80.3,AGGREGATED,100,,MISSING,,,MISSING,,8.3,AGGREGATED,100,265.4,AGGREGATED,100,12.7,AGGREGATED,Computed based on years 1991-2020,0.6,AGGREGATED,Computed based on years 1991-2020,-6.4,AGGREGATED,Computed based on years 1991-2020,7.5,AGGREGATED,Computed based on years 1991-2020
Entrance Auto,29-Mar-16,-5.6,ACTUAL,100,13.7,ACTUAL,100,4.3,AGGREGATED,100,62.9,AGGREGATED,100,,MISSING,,,MISSING,,7.3,AGGREGATED,100,246.4,AGGREGATED,100,13.5,AGGREGATED,Computed based on years 1991-2020,1.3,AGGREGATED,Computed based on years 1991-2020,-5.9,AGGREGATED,Computed based on years 1991-2020,8.4,AGGREGATED,Computed based on years 1991-2020
Entrance Auto,30-Mar-16,3,ACTUAL,100,10.9,ACTUAL,100,6.6,AGGREGATED,100,67.6,AGGREGATED,100,,MISSING,,,MISSING,,8.6,AGGREGATED,100,281.1,AGGREGATED,100,14.4,AGGREGATED,Computed based on years 1991-2020,1,AGGREGATED,Computed based on years 1991-2020,-5.8,AGGREGATED,Computed based on years 1991-2020,7.9,AGGREGATED,Computed based on years 1991-2020
Entrance Auto,31-Mar-16,1.6,ACTUAL,100,18.6,ACTUAL,100,9,AGGREGATED,100,66.4,AGGREGATED,100,,MISSING,,,MISSING,,6.9,AGGREGATED,100,254.4,AGGREGATED,100,15.1,AGGREGATED,Computed based on years 1991-2020,0.7,AGGREGATED,Computed based on years 1991-2020,-6.1,AGGREGATED,Computed based on years 1991-2020,7.6,AGGREGATED,Computed based on years 1991-2020
Entrance Auto,01-Apr-16,-3.2,ACTUAL,100,20.5,ACTUAL,100,9.4,AGGREGATED,100,55.8,AGGREGATED,100,0,AGGREGATED,using element [Precip. 1-hr TBRG],0,AGGREGATED,using element [Precip. 1-hr TBRG],9.2,AGGREGATED,100,242.4,AGGREGATED,100,15.5,AGGREGATED,Computed based on years 1991-2020,0.1,AGGREGATED,Computed based on years 1991-2020,-6.9,AGGREGATED,Computed based on years 1991-2020,7,AGGREGATED,Computed based on years 1991-2020
Entrance Auto,02-Apr-16,8.4,ACTUAL,100,18.3,ACTUAL,100,12.7,AGGREGATED,100,37.5,AGGREGATED,100,0,AGGREGATED,using element [Precip. 1-hr TBRG],0,AGGREGATED,using element [Precip. 1-hr TBRG],16.5,AGGREGATED,100,269.5,AGGREGATED,100,16.6,AGGREGATED,Computed based on years 1991-2020,0.5,AGGREGATED,Computed based on years 1991-2020,-6.8,AGGREGATED,Computed based on years 1991-2020,7.7,AGGREGATED,Computed based on years 1991-2020
