Station Name,Date (Local Standard Time),Air Temp. Min. (°C),Air Temp. Min. Source Flag,Air Temp. Min. Record Completeness (%),Air Temp. Max. (°C),Air Temp. Max. Source Flag,Air Temp. Max. Record Completeness (%),Air Temp. Avg. (°C),Air Temp. Avg. Source Flag,Air Temp. Avg. Record Completeness (%),Relative Humidity Avg. (%),Relative Humidity Avg. Source Flag,Relative Humidity Avg. Record Completeness (%),Precip. Accumulated (mm),Precip. Accumulated Source Flag,Precip. Accumulated Comment,Precip. (mm),Precip. Source Flag,Precip. Comment,Wind Speed 10 m Avg. (km/h),Wind Speed 10 m Avg. Source Flag,Wind Speed 10 m Avg. Record Completeness (%),Wind Dir. 10 m Avg. (°),Wind Dir. 10 m Avg. Source Flag,Wind Dir. 10 m Avg. Record Completeness (%),Precip. Normal (mm),Precip. Normal Source Flag,Precip. Normal Comment,Air Temp. Avg. Normal (°C),Air Temp. Avg. Normal Source Flag,Air Temp. Avg. Normal Comment,Air Temp. Avg. Min. Normal (°C),Air Temp. Avg. Min. Normal Source Flag,Air Temp. Avg. Min. Normal Comment,Air Temp. Avg. Max. Normal (°C),Air Temp. Avg. Max. Normal Source Flag,Air Temp. Avg. Max. Normal Comment
Rainbow Lake Auto,01-Mar-22,-15.8,ACTUAL,100,-13.3,ACTUAL,100,-14.5,AGGREGATED,100,85.4,AGGREGATED,100,,MISSING,,,MISSING,,4.8,AGGREGATED,100,59.6,AGGREGATED,100,0.7,AGGREGATED,Computed based on years 1991-2020,-13,AGGREGATED,Computed based on years 1991-2020,-20.2,AGGREGATED,Computed based on years 1991-2020,-5.8,AGGREGATED,Computed based on years 1991-2020
Rainbow Lake Auto,02-Mar-22,-18.3,ACTUAL,100,-12.9,ACTUAL,100,-15.4,AGGREGATED,100,85,AGGREGATED,100,,MISSING,,,MISSING,,5.4,AGGREGATED,100,72.5,AGGREGATED,100,1.4,AGGREGATED,Computed based on years 1991-2020,-12.2,AGGREGATED,Computed based on years 1991-2020,-19.4,AGGREGATED,Computed based on years 1991-2020,-5.1,AGGREGATED,Computed based on years 1991-2020
Rainbow Lake Auto,03-Mar-22,-13.5,ACTUAL,100,-5.8,ACTUAL,100,-9.7,AGGREGATED,100,89.4,AGGREGATED,100,,MISSING,,,MISSING,,4,AGGREGATED,100,73.8,AGGREGATED,100,1.7,AGGREGATED,Computed based on years 1991-2020,-12,AGGREGATED,Computed based on years 1991-2020,-18.7,AGGREGATED,Computed based on years 1991-2020,-5.3,AGGREGATED,Computed based on years 1991-2020
Rainbow Lake Auto,04-Mar-22,-13.6,ACTUAL,100,-1.8,ACTUAL,100,-7.5,AGGREGATED,100,83,AGGREGATED,100,,MISSING,,,MISSING,,3.1,AGGREGATED,100,213.2,AGGREGATED,100,1.9,AGGREGATED,Computed based on years 1991-2020,-12.9,AGGREGATED,Computed based on years 1991-2020,-19.9,AGGREGATED,Computed based on years 1991-2020,-5.9,AGGREGATED,Computed based on years 1991-2020
Rainbow Lake Auto,05-Mar-22,-8.7,ACTUAL,100,0.1,ACTUAL,100,-4.7,AGGREGATED,100,70.7,AGGREGATED,100,,MISSING,,,MISSING,,4.1,AGGREGATED,100,249.4,AGGREGATED,100,2.3,AGGREGATED,Computed based on years 1991-2020,-13.1,AGGREGATED,Computed based on years 1991-2020,-19.4,AGGREGATED,Computed based on years 1991-2020,-6.7,AGGREGATED,Computed based on years 1991-2020
Rainbow Lake Auto,06-Mar-22,-7.7,ACTUAL,100,8.4,ACTUAL,100,0.6,AGGREGATED,100,57.1,AGGREGATED,100,,MISSING,,,MISSING,,8.8,AGGREGATED,100,185.1,AGGREGATED,100,2.8,AGGREGATED,Computed based on years 1991-2020,-13.8,AGGREGATED,Computed based on years 1991-2020,-20.7,AGGREGATED,Computed based on years 1991-2020,-6.8,AGGREGATED,Computed based on years 1991-2020
Rainbow Lake Auto,07-Mar-22,-10,ACTUAL,100,3,ACTUAL,100,-5.3,AGGREGATED,100,63.1,AGGREGATED,100,,MISSING,,,MISSING,,10.7,AGGREGATED,100,303.8,AGGREGATED,100,3.3,AGGREGATED,Computed based on years 1991-2020,-12.3,AGGREGATED,Computed based on years 1991-2020,-19.9,AGGREGATED,Computed based on years 1991-2020,-4.8,AGGREGATED,Computed based on years 1991-2020
Rainbow Lake Auto,08-Mar-22,-14.8,ACTUAL,100,-9.2,ACTUAL,100,-11.2,AGGREGATED,100,61.7,AGGREGATED,100,,MISSING,,,MISSING,,6.6,AGGREGATED,100,300.2,AGGREGATED,100,3.5,AGGREGATED,Computed based on years 1991-2020,-10.6,AGGREGATED,Computed based on years 1991-2020,-19,AGGREGATED,Computed based on years 1991-2020,-2.1,AGGREGATED,Computed based on years 1991-2020
Rainbow Lake Auto,09-Mar-22,-16.4,ACTUAL,100,-3,ACTUAL,100,-9.9,AGGREGATED,100,58.4,AGGREGATED,100,,MISSING,,,MISSING,,8.2,AGGREGATED,100,240.3,AGGREGATED,100,4.8,AGGREGATED,Computed based on years 1991-2020,-9.5,AGGREGATED,Computed based on years 1991-2020,-16.2,AGGREGATED,Computed based on years 1991-2020,-2.8,AGGREGATED,Computed based on years 1991-2020
Rainbow Lake Auto,10-Mar-22,-24.3,ACTUAL,100,-10.9,ACTUAL,100,-16.3,AGGREGATED,100,57.6,AGGREGATED,100,,MISSING,,,MISSING,,4.1,AGGREGATED,100,43.1,AGGREGATED,100,5.5,AGGREGATED,Computed based on years 1991-2020,-9.4,AGGREGATED,Computed based on years 1991-2020,-16,AGGREGATED,Computed based on years 1991-2020,-2.9,AGGREGATED,Computed based on years 1991-2020
