Station Name,Date (Local Standard Time),Air Temp. Min. (°C),Air Temp. Min. Source Flag,Air Temp. Min. Record Completeness (%),Air Temp. Max. (°C),Air Temp. Max. Source Flag,Air Temp. Max. Record Completeness (%),Air Temp. Avg. (°C),Air Temp. Avg. Source Flag,Air Temp. Avg. Record Completeness (%),Relative Humidity Avg. (%),Relative Humidity Avg. Source Flag,Relative Humidity Avg. Record Completeness (%),Precip. Accumulated (mm),Precip. Accumulated Source Flag,Precip. Accumulated Comment,Precip. (mm),Precip. Source Flag,Precip. Comment,Wind Speed 10 m Avg. (km/h),Wind Speed 10 m Avg. Source Flag,Wind Speed 10 m Avg. Record Completeness (%),Wind Dir. 10 m Avg. (°),Wind Dir. 10 m Avg. Source Flag,Wind Dir. 10 m Avg. Record Completeness (%),Precip. Normal (mm),Precip. Normal Source Flag,Precip. Normal Comment,Air Temp. Avg. Normal (°C),Air Temp. Avg. Normal Source Flag,Air Temp. Avg. Normal Comment,Air Temp. Avg. Min. Normal (°C),Air Temp. Avg. Min. Normal Source Flag,Air Temp. Avg. Min. Normal Comment,Air Temp. Avg. Max. Normal (°C),Air Temp. Avg. Max. Normal Source Flag,Air Temp. Avg. Max. Normal Comment
Rocky Mountain House(AUT),01-Mar-22,-8.4,ACTUAL,100,-1.8,ACTUAL,100,-5.9,AGGREGATED,100,85.2,AGGREGATED,100,0,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],7.9,AGGREGATED,100,122.1,AGGREGATED,100,0.7,AGGREGATED,Computed based on years 1991-2020,-8.9,AGGREGATED,Computed based on years 1991-2020,-15.8,AGGREGATED,Computed based on years 1991-2020,-2,AGGREGATED,Computed based on years 1991-2020
Rocky Mountain House(AUT),02-Mar-22,-7.8,ACTUAL,100,-6.1,ACTUAL,100,-6.8,AGGREGATED,100,93.5,AGGREGATED,100,0.1,AGGREGATED,using element [Precip. Weighing],0.1,AGGREGATED,using element [Precip. Weighing],8.6,AGGREGATED,100,137.8,AGGREGATED,100,2.5,AGGREGATED,Computed based on years 1991-2020,-7.8,AGGREGATED,Computed based on years 1991-2020,-14,AGGREGATED,Computed based on years 1991-2020,-1.7,AGGREGATED,Computed based on years 1991-2020
Rocky Mountain House(AUT),03-Mar-22,-9.6,ACTUAL,100,-6.9,ACTUAL,100,-8.2,AGGREGATED,100,91.5,AGGREGATED,100,3.5,AGGREGATED,using element [Precip. Weighing],3.4,AGGREGATED,using element [Precip. Weighing],2.7,AGGREGATED,100,130.5,AGGREGATED,100,4.1,AGGREGATED,Computed based on years 1991-2020,-8,AGGREGATED,Computed based on years 1991-2020,-14.4,AGGREGATED,Computed based on years 1991-2020,-1.7,AGGREGATED,Computed based on years 1991-2020
Rocky Mountain House(AUT),04-Mar-22,-10.8,ACTUAL,100,-6.2,ACTUAL,100,-8.8,AGGREGATED,100,89.4,AGGREGATED,100,4.1,AGGREGATED,using element [Precip. Weighing],0.6,AGGREGATED,using element [Precip. Weighing],6.9,AGGREGATED,100,336.8,AGGREGATED,100,4.7,AGGREGATED,Computed based on years 1991-2020,-9.3,AGGREGATED,Computed based on years 1991-2020,-15.8,AGGREGATED,Computed based on years 1991-2020,-2.7,AGGREGATED,Computed based on years 1991-2020
Rocky Mountain House(AUT),05-Mar-22,-10.2,ACTUAL,100,-1.1,ACTUAL,100,-5.8,AGGREGATED,100,84.2,AGGREGATED,100,4.4,AGGREGATED,using element [Precip. Weighing],0.3,AGGREGATED,using element [Precip. Weighing],6.8,AGGREGATED,100,323.4,AGGREGATED,100,5.8,AGGREGATED,Computed based on years 1991-2020,-10,AGGREGATED,Computed based on years 1991-2020,-17.1,AGGREGATED,Computed based on years 1991-2020,-2.9,AGGREGATED,Computed based on years 1991-2020
Rocky Mountain House(AUT),06-Mar-22,-16.3,ACTUAL,100,1,ACTUAL,100,-5.9,AGGREGATED,100,73,AGGREGATED,100,4.4,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],5.9,AGGREGATED,100,233.2,AGGREGATED,100,6.8,AGGREGATED,Computed based on years 1991-2020,-10.6,AGGREGATED,Computed based on years 1991-2020,-17.2,AGGREGATED,Computed based on years 1991-2020,-4.1,AGGREGATED,Computed based on years 1991-2020
Rocky Mountain House(AUT),07-Mar-22,-7.7,ACTUAL,100,3.4,ACTUAL,100,-2,AGGREGATED,100,64.9,AGGREGATED,100,4.6,AGGREGATED,using element [Precip. Weighing],0.2,AGGREGATED,using element [Precip. Weighing],19.4,AGGREGATED,100,335.8,AGGREGATED,100,7.6,AGGREGATED,Computed based on years 1991-2020,-9,AGGREGATED,Computed based on years 1991-2020,-16.3,AGGREGATED,Computed based on years 1991-2020,-1.8,AGGREGATED,Computed based on years 1991-2020
Rocky Mountain House(AUT),08-Mar-22,-13.3,ACTUAL,100,-5.9,ACTUAL,100,-9.3,AGGREGATED,100,57.8,AGGREGATED,100,4.7,AGGREGATED,using element [Precip. Weighing],0.1,AGGREGATED,using element [Precip. Weighing],18.4,AGGREGATED,100,332.1,AGGREGATED,100,8.1,AGGREGATED,Computed based on years 1991-2020,-8.1,AGGREGATED,Computed based on years 1991-2020,-15.4,AGGREGATED,Computed based on years 1991-2020,-0.8,AGGREGATED,Computed based on years 1991-2020
Rocky Mountain House(AUT),09-Mar-22,-18.5,ACTUAL,100,-5.3,ACTUAL,100,-13.5,AGGREGATED,100,64.3,AGGREGATED,100,4.7,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],9.7,AGGREGATED,100,316.4,AGGREGATED,100,8.3,AGGREGATED,Computed based on years 1991-2020,-6.2,AGGREGATED,Computed based on years 1991-2020,-14,AGGREGATED,Computed based on years 1991-2020,1.5,AGGREGATED,Computed based on years 1991-2020
Rocky Mountain House(AUT),10-Mar-22,-16.8,ACTUAL,100,-3.4,ACTUAL,100,-7.5,AGGREGATED,100,44.8,AGGREGATED,100,4.7,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],18.4,AGGREGATED,100,351.5,AGGREGATED,100,9,AGGREGATED,Computed based on years 1991-2020,-5.8,AGGREGATED,Computed based on years 1991-2020,-12.9,AGGREGATED,Computed based on years 1991-2020,1.2,AGGREGATED,Computed based on years 1991-2020
