Station Name,Date (Local Standard Time),Air Temp. Min. (°C),Air Temp. Min. Source Flag,Air Temp. Min. Record Completeness (%),Air Temp. Max. (°C),Air Temp. Max. Source Flag,Air Temp. Max. Record Completeness (%),Air Temp. Avg. (°C),Air Temp. Avg. Source Flag,Air Temp. Avg. Record Completeness (%),Relative Humidity Avg. (%),Relative Humidity Avg. Source Flag,Relative Humidity Avg. Record Completeness (%),Precip. Accumulated (mm),Precip. Accumulated Source Flag,Precip. Accumulated Comment,Precip. (mm),Precip. Source Flag,Precip. Comment,Wind Speed 10 m Avg. (km/h),Wind Speed 10 m Avg. Source Flag,Wind Speed 10 m Avg. Record Completeness (%),Wind Dir. 10 m Avg. (°),Wind Dir. 10 m Avg. Source Flag,Wind Dir. 10 m Avg. Record Completeness (%),Precip. Normal (mm),Precip. Normal Source Flag,Precip. Normal Comment,Air Temp. Avg. Normal (°C),Air Temp. Avg. Normal Source Flag,Air Temp. Avg. Normal Comment,Air Temp. Avg. Min. Normal (°C),Air Temp. Avg. Min. Normal Source Flag,Air Temp. Avg. Min. Normal Comment,Air Temp. Avg. Max. Normal (°C),Air Temp. Avg. Max. Normal Source Flag,Air Temp. Avg. Max. Normal Comment
Imperial Auto,01-Mar-22,-9.2,ACTUAL,100,-4.2,ACTUAL,100,-6.8,AGGREGATED,100,100,AGGREGATED,100,,MISSING,,,MISSING,,6.7,AGGREGATED,100,112.3,AGGREGATED,100,0.7,AGGREGATED,Computed based on years 1991-2020,-8.4,AGGREGATED,Computed based on years 1991-2020,-14.6,AGGREGATED,Computed based on years 1991-2020,-2.2,AGGREGATED,Computed based on years 1991-2020
Imperial Auto,02-Mar-22,-11.9,ACTUAL,100,-8.3,ACTUAL,100,-10.4,AGGREGATED,100,99.6,AGGREGATED,100,,MISSING,,,MISSING,,7.2,AGGREGATED,100,113,AGGREGATED,100,1.5,AGGREGATED,Computed based on years 1991-2020,-8.6,AGGREGATED,Computed based on years 1991-2020,-14.6,AGGREGATED,Computed based on years 1991-2020,-2.6,AGGREGATED,Computed based on years 1991-2020
Imperial Auto,03-Mar-22,-13.4,ACTUAL,100,-8.6,ACTUAL,100,-11.2,AGGREGATED,100,98.4,AGGREGATED,100,,MISSING,,,MISSING,,4.3,AGGREGATED,100,104.7,AGGREGATED,100,3,AGGREGATED,Computed based on years 1991-2020,-7.6,AGGREGATED,Computed based on years 1991-2020,-13.2,AGGREGATED,Computed based on years 1991-2020,-2.1,AGGREGATED,Computed based on years 1991-2020
Imperial Auto,04-Mar-22,-14.7,ACTUAL,100,-6.4,ACTUAL,100,-10.9,AGGREGATED,100,97,AGGREGATED,100,,MISSING,,,MISSING,,1.7,AGGREGATED,100,311,AGGREGATED,100,4,AGGREGATED,Computed based on years 1991-2020,-8.3,AGGREGATED,Computed based on years 1991-2020,-14.1,AGGREGATED,Computed based on years 1991-2020,-2.6,AGGREGATED,Computed based on years 1991-2020
Imperial Auto,05-Mar-22,-9.4,ACTUAL,100,-2.8,ACTUAL,100,-6.7,AGGREGATED,100,90.4,AGGREGATED,100,,MISSING,,,MISSING,,7.7,AGGREGATED,100,305.7,AGGREGATED,100,5.1,AGGREGATED,Computed based on years 1991-2020,-9.1,AGGREGATED,Computed based on years 1991-2020,-15.2,AGGREGATED,Computed based on years 1991-2020,-3.1,AGGREGATED,Computed based on years 1991-2020
Imperial Auto,06-Mar-22,-10.9,ACTUAL,100,1.7,ACTUAL,100,-4.5,AGGREGATED,100,67.4,AGGREGATED,100,,MISSING,,,MISSING,,8.3,AGGREGATED,100,264.8,AGGREGATED,100,5.8,AGGREGATED,Computed based on years 1991-2020,-9.7,AGGREGATED,Computed based on years 1991-2020,-15.7,AGGREGATED,Computed based on years 1991-2020,-3.6,AGGREGATED,Computed based on years 1991-2020
Imperial Auto,07-Mar-22,-12.4,ACTUAL,100,1.7,ACTUAL,100,-5.5,AGGREGATED,100,75.8,AGGREGATED,100,,MISSING,,,MISSING,,23.9,AGGREGATED,100,317.7,AGGREGATED,100,6.7,AGGREGATED,Computed based on years 1991-2020,-8.9,AGGREGATED,Computed based on years 1991-2020,-15.6,AGGREGATED,Computed based on years 1991-2020,-2.2,AGGREGATED,Computed based on years 1991-2020
Imperial Auto,08-Mar-22,-18.4,ACTUAL,100,-8.8,ACTUAL,100,-13,AGGREGATED,100,68.9,AGGREGATED,100,,MISSING,,,MISSING,,14.8,AGGREGATED,100,319.7,AGGREGATED,100,7.1,AGGREGATED,Computed based on years 1991-2020,-7.6,AGGREGATED,Computed based on years 1991-2020,-14.5,AGGREGATED,Computed based on years 1991-2020,-0.6,AGGREGATED,Computed based on years 1991-2020
Imperial Auto,09-Mar-22,-21.9,ACTUAL,100,-7.3,ACTUAL,100,-14.6,AGGREGATED,100,60.9,AGGREGATED,100,,MISSING,,,MISSING,,13.8,AGGREGATED,100,295,AGGREGATED,100,7.6,AGGREGATED,Computed based on years 1991-2020,-6,AGGREGATED,Computed based on years 1991-2020,-12.5,AGGREGATED,Computed based on years 1991-2020,0.5,AGGREGATED,Computed based on years 1991-2020
Imperial Auto,10-Mar-22,-18.5,ACTUAL,100,-7.5,ACTUAL,100,-13.3,AGGREGATED,100,51.3,AGGREGATED,100,,MISSING,,,MISSING,,14.8,AGGREGATED,100,322.2,AGGREGATED,100,7.9,AGGREGATED,Computed based on years 1991-2020,-5,AGGREGATED,Computed based on years 1991-2020,-11.2,AGGREGATED,Computed based on years 1991-2020,1.2,AGGREGATED,Computed based on years 1991-2020
