Station Name,Date (Local Standard Time),Air Temp. Min. (°C),Air Temp. Min. Source Flag,Air Temp. Min. Record Completeness (%),Air Temp. Max. (°C),Air Temp. Max. Source Flag,Air Temp. Max. Record Completeness (%),Air Temp. Avg. (°C),Air Temp. Avg. Source Flag,Air Temp. Avg. Record Completeness (%),Relative Humidity Avg. (%),Relative Humidity Avg. Source Flag,Relative Humidity Avg. Record Completeness (%),Precip. Accumulated (mm),Precip. Accumulated Source Flag,Precip. Accumulated Comment,Precip. (mm),Precip. Source Flag,Precip. Comment,Wind Speed 10 m Avg. (km/h),Wind Speed 10 m Avg. Source Flag,Wind Speed 10 m Avg. Record Completeness (%),Wind Dir. 10 m Avg. (°),Wind Dir. 10 m Avg. Source Flag,Wind Dir. 10 m Avg. Record Completeness (%),Precip. Normal (mm),Precip. Normal Source Flag,Precip. Normal Comment,Air Temp. Avg. Normal (°C),Air Temp. Avg. Normal Source Flag,Air Temp. Avg. Normal Comment,Air Temp. Avg. Min. Normal (°C),Air Temp. Avg. Min. Normal Source Flag,Air Temp. Avg. Min. Normal Comment,Air Temp. Avg. Max. Normal (°C),Air Temp. Avg. Max. Normal Source Flag,Air Temp. Avg. Max. Normal Comment
Vermilion AGDM,01-Mar-22,-7.7,ACTUAL,100,-5.5,ACTUAL,100,-6.8,AGGREGATED,100,97.1,AGGREGATED,100,0.2,AGGREGATED,using element [Precip. Weighing],0.2,AGGREGATED,using element [Precip. Weighing],9.1,AGGREGATED,100,128.5,AGGREGATED,100,0.3,AGGREGATED,Computed based on years 1991-2020,-11.4,AGGREGATED,Computed based on years 1991-2020,-17.2,AGGREGATED,Computed based on years 1991-2020,-5.6,AGGREGATED,Computed based on years 1991-2020
Vermilion AGDM,02-Mar-22,-12.8,ACTUAL,100,-6.9,ACTUAL,100,-9.9,AGGREGATED,100,86.2,AGGREGATED,100,0.7,AGGREGATED,using element [Precip. Weighing],0.5,AGGREGATED,using element [Precip. Weighing],14.2,AGGREGATED,100,103,AGGREGATED,100,0.5,AGGREGATED,Computed based on years 1991-2020,-10.9,AGGREGATED,Computed based on years 1991-2020,-16.9,AGGREGATED,Computed based on years 1991-2020,-4.9,AGGREGATED,Computed based on years 1991-2020
Vermilion AGDM,03-Mar-22,-13.1,ACTUAL,100,-10.1,ACTUAL,100,-11.6,AGGREGATED,100,62.7,AGGREGATED,100,0.8,AGGREGATED,using element [Precip. Weighing],0.1,AGGREGATED,using element [Precip. Weighing],14.4,AGGREGATED,100,96.4,AGGREGATED,100,1,AGGREGATED,Computed based on years 1991-2020,-9.7,AGGREGATED,Computed based on years 1991-2020,-14.7,AGGREGATED,Computed based on years 1991-2020,-4.6,AGGREGATED,Computed based on years 1991-2020
Vermilion AGDM,04-Mar-22,-11.8,ACTUAL,100,-8.1,ACTUAL,100,-10.3,AGGREGATED,100,94.2,AGGREGATED,100,5.7,AGGREGATED,using element [Precip. Weighing],4.9,AGGREGATED,using element [Precip. Weighing],14.4,AGGREGATED,100,50.1,AGGREGATED,100,1.3,AGGREGATED,Computed based on years 1991-2020,-10,AGGREGATED,Computed based on years 1991-2020,-15.1,AGGREGATED,Computed based on years 1991-2020,-4.9,AGGREGATED,Computed based on years 1991-2020
Vermilion AGDM,05-Mar-22,-19,ACTUAL,100,-8.1,ACTUAL,100,-13.7,AGGREGATED,100,91.7,AGGREGATED,100,5.8,AGGREGATED,using element [Precip. Weighing],0.1,AGGREGATED,using element [Precip. Weighing],6.6,AGGREGATED,100,269,AGGREGATED,100,1.4,AGGREGATED,Computed based on years 1991-2020,-11,AGGREGATED,Computed based on years 1991-2020,-16.3,AGGREGATED,Computed based on years 1991-2020,-5.6,AGGREGATED,Computed based on years 1991-2020
Vermilion AGDM,06-Mar-22,-12.9,ACTUAL,100,-2.6,ACTUAL,100,-6.4,AGGREGATED,100,93,AGGREGATED,100,5.8,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],9.1,AGGREGATED,100,256.3,AGGREGATED,100,2.5,AGGREGATED,Computed based on years 1991-2020,-11.6,AGGREGATED,Computed based on years 1991-2020,-17.3,AGGREGATED,Computed based on years 1991-2020,-6,AGGREGATED,Computed based on years 1991-2020
Vermilion AGDM,07-Mar-22,-8.5,ACTUAL,100,1.4,ACTUAL,100,-3.4,AGGREGATED,100,82,AGGREGATED,100,5.8,AGGREGATED,using element [Precip. Weighing],0,AGGREGATED,using element [Precip. Weighing],27.4,AGGREGATED,100,300.7,AGGREGATED,100,4,AGGREGATED,Computed based on years 1991-2020,-10.9,AGGREGATED,Computed based on years 1991-2020,-16.5,AGGREGATED,Computed based on years 1991-2020,-5.2,AGGREGATED,Computed based on years 1991-2020
Vermilion AGDM,08-Mar-22,-17.1,ACTUAL,100,-8.5,ACTUAL,100,-11.6,AGGREGATED,100,73,AGGREGATED,100,6.3,AGGREGATED,using element [Precip. Weighing],0.5,AGGREGATED,using element [Precip. Weighing],17.7,AGGREGATED,100,336.5,AGGREGATED,100,4.4,AGGREGATED,Computed based on years 1991-2020,-10.6,AGGREGATED,Computed based on years 1991-2020,-17,AGGREGATED,Computed based on years 1991-2020,-4.2,AGGREGATED,Computed based on years 1991-2020
Vermilion AGDM,09-Mar-22,-20.9,ACTUAL,100,-12.7,ACTUAL,100,-16.6,AGGREGATED,100,71.4,AGGREGATED,100,6.4,AGGREGATED,using element [Precip. Weighing],0.1,AGGREGATED,using element [Precip. Weighing],13,AGGREGATED,100,270.2,AGGREGATED,100,4.6,AGGREGATED,Computed based on years 1991-2020,-7.9,AGGREGATED,Computed based on years 1991-2020,-13.5,AGGREGATED,Computed based on years 1991-2020,-2.4,AGGREGATED,Computed based on years 1991-2020
Vermilion AGDM,10-Mar-22,-22.5,ACTUAL,100,-10.6,ACTUAL,100,-16.3,AGGREGATED,100,61.1,AGGREGATED,100,6.7,AGGREGATED,using element [Precip. Weighing],0.3,AGGREGATED,using element [Precip. Weighing],20.1,AGGREGATED,100,310.6,AGGREGATED,100,4.9,AGGREGATED,Computed based on years 1991-2020,-6.5,AGGREGATED,Computed based on years 1991-2020,-12.2,AGGREGATED,Computed based on years 1991-2020,-0.8,AGGREGATED,Computed based on years 1991-2020
